codigo_municipio,populacao_0_17
2313906,3679
2313955,4865
2314003,9280
2314102,17382
2400109,2227
2400208,13844
2400307,2774
2400406,739
2400505,3117
2400604,1061
2400703,3199
2400802,2677
2400901,1456
2401008,7889
2401107,5774
2401206,3591
2401305,2166
2401404,2323
2401453,7291
2401503,892
2401602,1224
2401651,555
2401701,2601
2401800,3243
2401859,1786
2401909,846
2402006,12809
2402105,2429
2402204,8700
2402303,4362
2402402,1944
2402501,2453
2402600,21880
2402709,2736
2402808,1230
2402907,1002
2403004,1705
2403103,9061
2403202,1718
2403251,58375
2403301,1497
2403400,1290
2403509,2822
2403608,17599
2403707,1235
2403756,709
2403806,2319
2403905,594
2404002,979
2404101,590
2404200,7832
2404309,2838
2404408,2302
2404507,4481
2404606,3191
2404705,3730
2404804,418
2404853,1954
2404903,1200
2405009,1849
2405108,1825
2405207,1152
2405306,2394
2405405,1368
2405504,653
2405603,3397
2405702,2033
2405801,9308
2405900,501
2406007,1240
2406106,3983
2406155,987
2406205,1879
2406304,1919
2406403,654
2406502,4101
2406601,2316
2406700,2361
2406809,1139
2406908,787
2407005,2459
2407104,22272
2407203,6396
2407252,1030
2407302,1789
2407401,1829
2407500,2919
2407609,1043
2407708,3166
2407807,6233
2407906,574
2408003,61785
2408102,165082
2408201,8128
2408300,8740
2408409,780
2408508,1084
2408607,991
2408706,746
2408805,1373
2408904,5243
2408953,2998
2409100,2766
2409209,762
2409308,2572
2409332,1301
2409407,6894
2409506,1025
2409605,618
2409704,1621
2409803,3900
2409902,3045
2410009,654
2410108,3277
2410207,1761
2410256,1415
2410306,2875
2410405,2734
2410504,1256
2410603,683
2410702,657
2410801,955
2410900,1895
2411007,993
2411056,1272
2411106,776
2411205,9684
2411403,2721
2411429,634
2411502,5554
2411601,902
2411700,963
2411809,709
2411908,950
2412005,30467
2412104,1263
2412203,13209
2412302,2703
2412401,1042
2412500,5956
2412559,2885
2412609,4112
2412708,1431
2412807,1629
2412906,2241
2413003,1429
2413102,1567
2413201,1266
2413300,1471
2413359,3778
2413409,1661
2413508,1587
2413557,1059
2413607,1151
2413706,1181
2413805,556
2413904,3050
2414001,3551
2414100,2618
2414159,1699
2414209,4496
2414308,438
2414407,9256
2414456,884
2414506,2060
2414605,3426
2414704,1309
2414753,766
2414803,2827
2414902,428
2415008,917
2500106,2497
2500205,1165
2500304,6920
2500403,5859
2500502,3822
2500536,1543
2500577,897
2500601,6433
2500700,3865
2500734,626
2500775,1981
2500809,4275
2500908,2989
2501005,4678
2501104,6112
2501153,493
2501203,1926
2501302,4992
2501351,1214
2501401,2954
2501500,5909
2501534,1226
2501575,2002
2501609,3134
2501708,1492
2501807,21058
2501906,3991
2502003,1497
2502052,1045
2502102,1390
2502151,1577
2502201,547
2502300,927
2502409,2990
2502508,4798
2502607,1404
2502706,1160
2502805,3350
2502904,1343
2503001,6429
2503100,1327
2503209,17126
2503308,2309
2503407,851
2503506,4276
2503555,2531
2503605,1727
2503704,14936
2503753,732
2503803,1526
2503902,1547
2504009,100924
2504033,2157
2504074,951
2504108,542
2504157,1762
2504207,1216
2504306,7191
2504355,1412
2504405,4580
2504504,1550
2504603,8161
2504702,1158
2504801,3784
2504850,365
2504900,4724
2505006,1972
2505105,4595
2505204,1884
2505238,1689
2505279,1359
2505303,559
2505352,1292
