CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,QT_SALAS_UTILIZADAS,IN_INTERNET,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,QT_MAT_MED,mat_por_sala,codigo_municipio
3118007,COLEGIO SAGRADO CORACAO DE JESUS,31344249,4,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,23.0,1.0,7.0,10.0,11.0,5.0,0.0,0.0,785.0,130.0,5.6521739130434785,3118007
3118304,COLEGIO NOSSA SENHORA DE NAZARE,31196177,4,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,4.0,6.0,8.0,6.0,6.0,0.0,479.0,117.0,5.85,3118304
3118304,COL QUELUZ DE MINAS,31210595,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,1.0,0.0,5.0,4.0,2.0,0.0,0.0,171.0,18.0,2.0,3118304
3118304,COL POTENCIA,31305235,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,2.0,7.0,5.0,5.0,10.0,0.0,546.0,130.0,8.125,3118304
3118304,COL STA RITA FASAR,31321745,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,3.0,5.0,4.0,2.0,0.0,0.0,158.0,14.0,0.875,3118304
3118304,INSTITUTO EDUCACIONAL MARGARIDA REZENDE,31339989,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,6.0,12.0,7.0,3.0,3.0,0.0,575.0,54.0,2.5714285714285716,3118304
3118403,ESCOLA TIRADENTES,31351512,4,1.0,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,156.0,70.0,10.0,3118403
3118601,COLEGIO SANTO AGOSTINHO-UNIDADE CONTAGEM,31014061,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44.0,1.0,3.0,16.0,16.0,7.0,1.0,0.0,1141.0,252.0,5.7272727272727275,3118601
3118601,COLEGIO SAO JUDAS TADEU,31014150,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,1.0,11.0,15.0,13.0,3.0,3.0,0.0,907.0,63.0,2.25,3118601
3118601,ESCOLA SESI ALVIMAR CARNEIRO DE REZENDE,31014168,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.0,1.0,0.0,19.0,24.0,12.0,1.0,0.0,1597.0,361.0,10.617647058823529,3118601
3118601,INST ELIZABETH KALIL,31014206,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,3.0,5.0,5.0,3.0,1.0,0.0,379.0,95.0,5.9375,3118601
3118601,ESCOLA SESI BENJAMIN GUIMARAES,31014231,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,0.0,5.0,6.0,9.0,0.0,0.0,567.0,263.0,16.4375,3118601
3118601,INSTITUTO EROS GUSTAVO,31236934,4,1.0,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,14.0,1.0,2.0,6.0,6.0,3.0,0.0,0.0,326.0,73.0,5.214285714285714,3118601
3118601,COLEGIO SAGRADO CORACAO DE JESUS,31265578,4,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,27.0,1.0,4.0,10.0,10.0,3.0,2.0,0.0,517.0,70.0,2.5925925925925926,3118601
3118601,INSTITUTO EDUCACIONAL NOVOS TEMPOS,31267007,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,1.0,10.0,14.0,14.0,7.0,4.0,0.0,1072.0,211.0,7.535714285714286,3118601
3118601,INST PEDAG CRESCER,31277177,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,2.0,9.0,8.0,4.0,0.0,0.0,361.0,77.0,3.85,3118601
3118601,COLEGIO PAULO FREIRE,31279099,4,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,17.0,1.0,2.0,8.0,8.0,3.0,2.0,0.0,465.0,91.0,5.352941176470588,3118601
3118601,COLEGIO SAO GERALDO,31279102,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,3.0,5.0,4.0,3.0,0.0,0.0,296.0,79.0,7.9,3118601
3118601,CEMAR CENTRO EDUCACIONAL MARIO RABELO-UNIDADE II,31310891,4,1.0,1,0.0,1.0,1.0,0.0,0.0,1.0,1.0,20.0,1.0,9.0,10.0,8.0,3.0,3.0,0.0,571.0,81.0,4.05,3118601
3118601,COLEGIO NIEDE GUIDON,31376310,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,0.0,5.0,4.0,3.0,0.0,0.0,158.0,48.0,4.0,3118601
3118601,CENTRO DE EXCELENCIA INTEGRADO AVANCAR - CEIAV - UNIDADE II,31380008,4,1.0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,3.0,1.0,0.0,204.0,72.0,18.0,3118601
3118601,NUCLEO EDUC BRAZ NETTO,31277185,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,2.0,8.0,7.0,2.0,0.0,0.0,112.0,28.0,1.8666666666666667,3118601
3118601,COL CHROMOS ELDORADO,31357120,4,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,23.0,1.0,3.0,5.0,4.0,11.0,1.0,0.0,324.0,151.0,6.565217391304348,3118601
3118809,CENTRO EDUCACIONAL CORJESUS,31339679,4,1.0,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,2.0,13.0,0.0,200.0,0.0,0.0,3118809
3119104,CENTRO EDUCACIONAL ESPACO LUDUS,31372498,4,1.0,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,15.0,1.0,5.0,5.0,4.0,1.0,0.0,0.0,207.0,11.0,0.7333333333333333,3119104
3119302,COLEGIO OMEGA,31346934,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,6.0,6.0,4.0,3.0,0.0,0.0,361.0,77.0,4.8125,3119302
3119401,CEPSMA - COLEGIO E CENTRO DE PESQUISA SOUZA MARTINS,31238180,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,5.0,5.0,4.0,3.0,0.0,0.0,310.0,63.0,7.0,3119401
3120508,COLEGIO FENIX,31325538,4,1.0,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,1.0,1.0,0.0,4.0,3.0,1.0,0.0,86.0,26.0,3.25,3120508
3120805,ESCOLA FAMILIA AGRICOLA DE CRUZILIA,31327514,4,2.0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,6.0,2.0,155.0,124.0,62.0,3120805
3120805,COLEGIO SAO JOAO PAULO II,31349127,4,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,17.0,1.0,4.0,6.0,4.0,3.0,0.0,0.0,266.0,44.0,2.588235294117647,3120805
3120904,INST PEQUENO PRINCIPE - EXPANSAO,31210498,4,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,16.0,1.0,8.0,6.0,4.0,3.0,3.0,0.0,334.0,63.0,3.9375,3120904
3120904,COLEGIO DARWIN DE CURVELO,31306169,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,10.0,10.0,5.0,3.0,0.0,0.0,445.0,55.0,2.8947368421052633,3120904
3120904,REDE M2 - CURVELO,31374830,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,161.0,23.0,4.6,3120904
3120904,COLEGIO BOM COMECO E LEME,31377040,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,0.0,8.0,4.0,3.0,0.0,0.0,285.0,65.0,4.0625,3120904
3121605,COLEGIO DIAMANTINENSE,31031674,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,1.0,6.0,8.0,8.0,4.0,4.0,0.0,504.0,96.0,4.173913043478261,3121605
3121605,CENTRO EDUCACIONAL NADIA SANTOS ROCHA,31031691,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,15.0,9.0,6.0,3.0,0.0,0.0,480.0,47.0,2.611111111111111,3121605
3122306,ESCOLA SESI CORONEL JOVELINO RABELO,31041025,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,1.0,4.0,12.0,8.0,6.0,0.0,0.0,695.0,85.0,3.6956521739130435,3122306
3122306,ESCOLA TECNICA DE DIVINOPOLIS-INTEGRAL,31041181,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,0.0,0.0,9.0,7.0,0.0,0.0,492.0,214.0,19.454545454545453,3122306
3122306,INST N SRA DO SAGRADO CORACAO,31041190,4,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,25.0,1.0,8.0,9.0,8.0,3.0,0.0,0.0,581.0,78.0,3.12,3122306
3122306,COLEGIO ROBERTO CARNEIRO,31041262,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,57.0,1.0,45.0,15.0,16.0,10.0,0.0,0.0,1220.0,293.0,5.140350877192983,3122306
3122306,CECRI C EDUC CRIATIVO,31281921,4,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,23.0,1.0,9.0,11.0,11.0,3.0,3.0,0.0,656.0,64.0,2.782608695652174,3122306
3122306,CENTRO EDUCACIONAL DIVINOPOLIS-ANGLO,31291986,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.0,1.0,12.0,18.0,12.0,2.0,0.0,0.0,897.0,51.0,1.3421052631578947,3122306
3122306,SOPHIS EDUCACIONAL,31371726,4,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,94.0,94.0,15.666666666666666,3122306
3122306,APOGEU SISTEMA DE ENSINO,31374644,4,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,16.0,1.0,4.0,5.0,5.0,3.0,2.0,0.0,334.0,43.0,2.6875,3122306
3122306,COLEGIO MAGNIFICAT,31376051,4,3.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,25.0,1.0,7.0,10.0,5.0,3.0,3.0,0.0,542.0,57.0,2.28,3122306
3122306,CENTRO EDUCACIONAL DIVINOPOLIS - UNIDADE 2,31388424,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,116.0,116.0,14.5,3122306
3123007,C EDUC WANDERLEY ARRUDA,31304395,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,2.0,5.0,4.0,3.0,0.0,0.0,90.0,17.0,2.125,3123007
3123205,COLEGIO ELYSIUM,31274151,4,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,92.0,92.0,30.666666666666668,3123205
3123601,CENTRO EDUCACIONAL PADRE NATAL FERLONI,31372064,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,1.0,6.0,6.0,4.0,3.0,0.0,0.0,301.0,37.0,1.2333333333333334,3123601
3124005,C EDUC DE ERVALIA,31312096,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,5.0,5.0,4.0,2.0,0.0,0.0,218.0,23.0,1.6428571428571428,3124005
3124005,COLEGIO EDUCAR,31364410,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,2.0,5.0,4.0,3.0,0.0,0.0,150.0,23.0,2.090909090909091,3124005
3124104,COLEGIO AVANCE,31342505,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,0.0,5.0,4.0,3.0,0.0,0.0,154.0,35.0,2.9166666666666665,3124104
3124203,COLEGIO BATISTA REOBOTE,31281808,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,1.0,5.0,5.0,4.0,3.0,2.0,0.0,159.0,23.0,1.3529411764705883,3124203
3124203,COLEGIO PORTAL DO SABER,31299880,4,1.0,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,13.0,1.0,5.0,5.0,5.0,3.0,0.0,0.0,356.0,52.0,4.0,3124203
3125101,NUCLEO DE EDUC BOM PASTOR,31264342,4,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,13.0,1.0,5.0,5.0,5.0,3.0,0.0,0.0,273.0,54.0,4.153846153846154,3125101
3125101,COLEGIO PENSE,31376582,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,2.0,5.0,4.0,3.0,0.0,0.0,246.0,69.0,4.6,3125101
3125101,PRIVEST - SISTEMA COC DE ENSINO - UNIDADE 2,31382388,4,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,11.0,1.0,0.0,5.0,6.0,5.0,1.0,0.0,262.0,76.0,6.909090909090909,3125101
3125101,ESCOLA SESI EXTREMA,31384410,4,1.0,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,86.0,86.0,21.5,3125101
3126109,COLEGIO UNIFOR,31118281,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,0.0,0.0,6.0,4.0,0.0,0.0,191.0,82.0,8.2,3126109
3126109,COLEGIO LOSANGO DE FORMIGA,31309770,4,1.0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,283.0,126.0,14.0,3126109
3126703,COL PIRAMIDE,31321966,4,1.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,153.0,59.0,11.8,3126703
3127008,COLEGIO DESTAQUE,31349950,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,3.0,5.0,4.0,3.0,0.0,0.0,133.0,23.0,1.5333333333333334,3127008
3127008,COLEGIO EQUILIBRIO,31360490,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,4.0,5.0,4.0,1.0,0.0,0.0,160.0,12.0,1.2,3127008
3127107,ESCOLA PARTICULAR PRESIDENTE VARGAS,31166201,4,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,10.0,1.0,2.0,5.0,4.0,3.0,2.0,0.0,284.0,36.0,3.6,3127107
3127107,ESCOLA PARTICULAR RENASCER,31373451,4,1.0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,24.0,1.0,3.0,5.0,4.0,3.0,3.0,0.0,568.0,127.0,5.291666666666667,3127107
3127701,ESCOLA TECNICA DA UNIVERSIDADE VALE DO RIO DOCE - ETEIT - UNIVALE,31054101,4,1.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,4.0,7.0,0.0,66.0,0.0,0.0,3127701
3127701,ESCOLA SESI ABILIO RODRIGUES PATTO,31244163,4,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,14.0,1.0,1.0,7.0,5.0,6.0,0.0,0.0,592.0,184.0,13.142857142857142,3127701
3127701,COLEGIO BARROS OLIVEIRA,31280135,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,2.0,5.0,4.0,3.0,0.0,0.0,256.0,51.0,6.375,3127701
3127701,COL GENOMA II,31329762,4,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,14.0,1.0,0.0,0.0,8.0,6.0,0.0,0.0,479.0,203.0,14.5,3127701
3128006,COLEGIO SOUZA SIMAN,31377619,4,1.0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,20.0,1.0,5.0,6.0,4.0,3.0,0.0,0.0,409.0,67.0,3.35,3128006
3128303,COLEGIO ALTERNATIVO,31261971,4,1.0,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,11.0,1.0,4.0,5.0,4.0,3.0,0.0,0.0,201.0,22.0,2.0,3128303
3128709,ESC INTERATIVA,31280071,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,1.0,8.0,9.0,7.0,3.0,1.0,0.0,513.0,77.0,3.347826086956522,3128709
