"CD_DIST";"NM_DIST";"PERE0115_NOVA";"V06001";"V06002";"V06003";"V06004";"V06005";"V06006"
"130185205";"Iranduba";"1212";"10821";"36611";"3,42";"1662,33";"4829512,14";"1212"
"130185210";"Ariaú";"1200";"816";"2708";"4,24";"1466,10";"2836350,62";"1200"
"130185215";"Cacau Pirêra";"1200";"4498";"16396";"3,83";"1640,82";"63297099,29";"1200"
"130185220";"Lago do Limão";"1200";"749";"2472";"4,41";"1454,00";"2742515,63";"1200"
"130185225";"Paricatuba";"1201";"867";"2687";"3,36";"1623,47";"6625672,84";"1200.5"
"130190205";"Itacoatiara";"1212";"21638";"81233";"4,29";"1780,05";"7069935,52";"1212"
"130190210";"Amatari";"1200";"5981";"21799";"6,83";"1298,21";"1913480,72";"1200"
"130195105";"Itamarati";"1200";"2307";"10736";"6,33";"1589,46";"36015036,60";"1200"
"130200905";"Itapiranga";"1212";"2599";"10107";"4,47";"1580,22";"3887874,25";"1212"
"130210805";"Japurá";"1200";"1526";"7753";"8,10";"1949,05";"9260146,87";"1200"
"130210810";"Vila Bitencourt";"1212";"197";"957";"7,89";"1740,14";"2668852,57";"1212"
"130220705";"Juruá";"1000";"2515";"10659";"5,24";"1774,51";"629714180,90";"1000"
"130230605";"Jutaí";"1200";"4803";"24716";"8,82";"1476,06";"7731932,94";"1200"
"130240505";"Lábrea";"1200";"11170";"44882";"5,52";"1357,40";"3186084,67";"1200"
"130250405";"Manacapuru";"1200";"26864";"101580";"4,14";"1465,03";"4938731,77";"1200"
"130255305";"Manaquiri";"1000";"4877";"16773";"3,74";"1130,66";"1715264,72";"1000"
"130260305";"Manaus";"1300";"630012";"2058347";"3,20";"2853,44";"108751070,01";"1300"
"130270205";"Manicoré";"1200";"9763";"44304";"6,73";"2111,16";"2942998587,40";"1200"
"130270210";"Santo Antônio do Matupi";"1900";"2318";"9070";"21,07";"2505,63";"9725189,74";"1900"
"130280105";"Maraã";"1100";"3000";"15270";"8,38";"1306,96";"4675475,22";"1100"
"130290005";"Maués";"1200";"9600";"42510";"6,98";"1392,21";"2806107,46";"1200"
"130290010";"Osório da Fonseca";"700";"1846";"9062";"7,72";"933,91";"428155,03";"700"
"130290015";"Repartimento";"800";"1796";"9209";"10,76";"927,19";"325715,21";"800"
"130300705";"Nhamundá";"1200";"4548";"19904";"6,07";"1359,34";"4207553,34";"1200"
"130310605";"Nova Olinda do Norte";"1001";"6467";"26871";"5,46";"1242,16";"2805142,78";"1001"
"130320505";"Novo Airão";"1212";"4129";"15493";"4,63";"1545,68";"3662490,90";"1212"
"130330405";"Novo Aripuanã";"1200";"4742";"23537";"11,63";"1484,02";"8539766,95";"1200"
"130340305";"Parintins";"1200";"18895";"74880";"4,90";"1826,02";"7987459,00";"1200"
"130340310";"Mocambo";"600";"693";"3030";"5,31";"878,17";"247611,68";"600"
"130340315";"Caburi";"800";"781";"3203";"4,33";"1122,85";"1237491,59";"800"
"130340320";"Vila Amazônia";"650";"1983";"8358";"5,50";"966,02";"846696,94";"650"
"130340325";"Tracajá";"600";"666";"2857";"5,63";"788,20";"404961,20";"600"
"130340330";"Uaicurapá";"600";"878";"3706";"5,75";"839,39";"446695,25";"600"
"130350205";"Pauini";"1200";"3871";"18793";"10,41";"1359,00";"2325360,10";"1200"
"130353605";"Presidente Figueiredo";"1212";"8085";"26426";"3,24";"1955,67";"8880109,50";"1212"
"130353610";"Balbina";"1212";"1269";"4058";"3,36";"1688,24";"3123892,59";"1212"
"130356905";"Rio Preto da Eva";"1212";"7791";"24825";"3,50";"1909,35";"607897970,48";"1212"
"130360105";"Santa Isabel do Rio Negro";"1200";"2663";"13795";"9,09";"1500,28";"5026821,54";"1200"
"130370005";"Santo Antônio do Içá";"1200";"4443";"23635";"8,41";"1358,81";"14887350,45";"1200"
"130370015";"Alterosa";"800";"729";"4030";"11,11";"1189,69";"2509666,69";"800"
"130380905";"São Gabriel da Cachoeira";"1200";"8655";"41529";"6,75";"1749,86";"5000884,19";"1200"
"130380912";"Cucui";"1200";"717";"3558";"7,68";"1244,78";"355595,92";"1200"
"130380915";"Içana";"600";"207";"1077";"5,24";"957,49";"251234,52";"600"
"130380920";"São Felipe";"1000";"451";"2188";"5,56";"962,65";"243310,66";"1000"
"130390805";"São Paulo de Olivença";"1200";"3739";"18649";"7,19";"1494,72";"78001358,40";"1200"
"130390815";"Santa Rita";"1000";"2215";"14012";"9,26";"1040,89";"1209424,19";"1000"
"130395705";"São Sebastião do Uatumã";"1200";"2336";"9837";"6,21";"1645,84";"5984082,76";"1200"
"130395710";"Santana";"1100";"326";"1695";"6,67";"1069,62";"535784,53";"1100"
"130400505";"Silves";"1000";"2820";"11510";"5,52";"1271,60";"2403585,03";"1000"
"130406205";"Tabatinga";"1200";"13821";"66353";"8,16";"1917,71";"511278586,31";"1200"
"130410405";"Tapauá";"1200";"4736";"19157";"4,54";"1235,08";"4295463,43";"1200"
"130420305";"Tefé";"1200";"17447";"73474";"5,71";"1823,43";"151503917,39";"1200"
"130423705";"Tonantins";"1000";"3348";"19023";"11,49";"1259,20";"7567823,62";"1000"
"130426005";"Uarini";"1000";"3042";"14191";"6,66";"1146,93";"1695177,58";"1000"
"130430205";"Urucará";"1200";"4267";"18500";"7,54";"1468,86";"6463558,12";"1200"
"130440105";"Urucurituba";"1200";"3301";"15679";"8,58";"1495,60";"3750799,59";"1200"
"130440110";"Augusto Montenegro";"1200";"713";"2608";"5,46";"1206,45";"1199793,21";"1200"
"130440115";"Itapeaçú";"1212";"1188";"5252";"8,45";"1460,30";"2150896,54";"1212"
"140002705";"Amajari";"1200";"2928";"13178";"10,86";"1619,49";"4004298,91";"1200"
"140005005";"Alto Alegre";"1200";"4899";"19904";"7,90";"1664,96";"3556688,58";"1200"
"140010005";"Boa Vista";"1500";"118980";"402925";"3,54";"3025,65";"55793428,82";"1500"
"140015905";"Bonfim";"1200";"3494";"13844";"5,85";"1487,94";"3194104,77";"1200"
"140017505";"Cantá";"1200";"5428";"18556";"4,62";"1817,28";"6164817,66";"1200"
"140020905";"Caracaraí";"1212";"6063";"20759";"3,94";"1881,49";"187889943,96";"1212"
"140023305";"Caroebe";"1212";"3109";"10412";"3,20";"1731,19";"3379267,94";"1212"
"140028205";"Iracema";"1200";"2853";"9568";"4,12";"1665,94";"3847746,04";"1200"
"140030805";"Mucajaí";"1212";"5317";"17821";"3,48";"1734,19";"7124327,94";"1212"
"140040705";"Normandia";"1212";"2671";"13628";"7,53";"1556,67";"5478523,07";"1212"
"140045605";"Pacaraima";"1200";"3939";"17241";"7,35";"1256,60";"544988,45";"1200"
"140047205";"Rorainópolis";"1212";"10029";"32380";"3,13";"1850,54";"7750588,23";"1212"
"140050605";"São João da Baliza";"1212";"2600";"8685";"3,35";"1890,57";"5758915,74";"1212"
"140060505";"São Luiz";"1212";"2260";"7127";"2,97";"1730,49";"4510753,08";"1212"
"140070405";"Uiramutã";"900";"2279";"13287";"9,16";"1088,38";"818864,73";"900"
"150010705";"Abaetetuba";"1200";"40480";"148707";"3,36";"1480,65";"5868072,42";"1200"
"150010710";"Beja";"1200";"2541";"9000";"3,18";"1245,48";"1756751,61";"1200"
"150013105";"Abel Figueiredo";"1212";"2000";"6125";"2,58";"1708,49";"3650888,67";"1212"
"150020605";"Acará";"1101";"10741";"37250";"3,39";"1238,43";"1917619,69";"1101"
"150020610";"Guajará-Miri";"900";"3852";"12862";"2,98";"1012,87";"764605,55";"900"
"150020615";"Jaguarari";"700";"2204";"7816";"3,32";"925,76";"493559,13";"700"
"150030505";"Afuá";"1200";"9038";"37658";"4,68";"1277,27";"1879882,18";"1200"
"150034705";"Água Azul do Norte";"1300";"5615";"17955";"2,32";"2105,10";"9677428,00";"1300"
"150040405";"Alenquer";"1200";"17904";"69241";"4,49";"1279,34";"2443393,00";"1200"
"150050305";"Almeirim";"1212";"6244";"24214";"4,41";"1463,93";"6918088,17";"1212"
"150050310";"Arumanduba";"635";"795";"3397";"5,45";"884,02";"300435,62";"635"
"150050315";"Monte Dourado";"2000";"2052";"6453";"2,96";"3417,84";"30296571,86";"2000"
"150060205";"Altamira";"1212";"36221";"109890";"2,38";"2272,87";"11582433,61";"1212"
"150060206";"Cachoeira da Serra";"2424";"1159";"3891";"3,89";"3443,49";"27248546,39";"2424"
"150060207";"Castelo dos Sonhos";"2000";"3772";"11890";"2,90";"2724,19";"39798554,92";"2000"
"150070105";"Anajás";"800";"6369";"27905";"5,42";"1199,94";"2931337,87";"800"
"150080005";"Ananindeua";"1300";"154877";"477332";"2,29";"2433,07";"73913432,26";"1300"
"150085905";"Anapu";"1212";"9326";"31499";"2,90";"1674,53";"10506170,74";"1212"
"150090905";"Augusto Corrêa";"800";"6184";"21969";"3,29";"1143,53";"2155100,29";"800"
"150090910";"Aturiaí";"600";"2866";"10641";"3,76";"865,37";"403832,76";"600"
"150090915";"Emboraí";"800";"1745";"6381";"3,52";"894,68";"717863,04";"800"
"150090920";"Itapixuna";"600";"1559";"5492";"3,55";"828,88";"817100,03";"600"
"150095805";"Aurora do Pará";"1200";"6641";"23609";"3,63";"1267,59";"2011402,50";"1200"
"150100605";"Aveiro";"1212";"2051";"8133";"5,66";"1512,34";"2903903,82";"1212"
"150100610";"Brasília Legal";"960";"2105";"7862";"4,63";"1040,48";"1101409,36";"960"
"150100615";"Pinhel";"900";"465";"2060";"6,52";"1047,42";"740024,99";"900"
"150110505";"Bagre";"1100";"5641";"31118";"7,41";"1245,94";"1901336,84";"1100"
"150110510";"Pedreira";"600";"50";"251";"5,94";"865,40";"190615,53";"600"
"150120405";"Baião";"1200";"7490";"31225";"5,98";"1480,85";"3163085,27";"1200"
"150120410";"Joana Peres";"850";"1803";"6731";"5,33";"1062,16";"511465,14";"850"
"150120420";"São Joaquim do Ituquara";"1000";"1619";"8348";"6,41";"1094,97";"994414,64";"1000"
"150120430";"Umarizal do Tocantins";"800";"1199";"4774";"4,48";"951,86";"643489,46";"800"
"150125305";"Bannach";"1500";"1322";"3988";"2,70";"2225,18";"18965038,10";"1500"
"150130305";"Barcarena";"1212";"25896";"87412";"2,74";"1666,44";"5402667,15";"1212"
"150130310";"Murucupi";"1500";"12084";"39040";"2,52";"2656,03";"12837451,05";"1500"
"150140205";"Belém";"6000";"49894";"139757";"2,05";"9028,15";"172910845,61";"6000"
"150140245";"Bengui";"1212";"88606";"275352";"2,42";"2670,70";"159173745,90";"1212"
"150140250";"Entroncamento";"1700";"40352";"123318";"2,45";"3639,15";"34801158,89";"1700"
"150140255";"Guamá";"1212";"89092";"283379";"3,13";"2186,12";"496645492,95";"1212"
"150140260";"Icoaraci";"1212";"56269";"171367";"2,29";"1812,98";"24337263,29";"1212"
"150140265";"Mosqueiro";"1200";"12381";"38195";"2,82";"1541,25";"4219383,47";"1200"
"150140267";"Outeiro";"1200";"12964";"39442";"2,68";"1394,10";"2597111,55";"1200"
"150140275";"Sacramenta";"1250";"73408";"230523";"2,95";"2902,65";"106768714,34";"1250"
"150145105";"Belterra";"1212";"5333";"17968";"3,07";"1545,19";"3797287,71";"1212"
"150150105";"Benevides";"1212";"11491";"35509";"2,45";"1765,65";"99173971,96";"1212"
"150150110";"Benfica";"1200";"8994";"27837";"2,40";"1479,87";"174945019,20";"1200"
"150157605";"Bom Jesus do Tocantins";"1212";"5087";"17851";"3,70";"1700,42";"4923954,86";"1212"
"150160005";"Bonito";"1212";"4214";"12602";"2,23";"1302,21";"10839629,32";"1212"
"150170905";"Bragança";"1212";"28505";"93299";"2,66";"1685,46";"6162793,46";"1212"
"150170910";"Almoço";"600";"799";"2696";"3,26";"931,56";"620428,18";"600"
"150170915";"Caratateua";"800";"3152";"10131";"2,79";"1078,35";"2115743,82";"800"
"150170920";"Nova Mocajuba";"600";"840";"2928";"3,66";"883,25";"611099,42";"600"
"150170930";"Tijoca";"1000";"2612";"9388";"3,44";"1097,40";"3202619,62";"1000"
"150170940";"Treme";"800";"1152";"4360";"3,26";"1052,38";"1173524,93";"800"
"150172505";"Brasil Novo";"1212";"7189";"24592";"2,92";"1781,09";"8994973,36";"1212"
"150175805";"Brejo Grande do Araguaia";"1212";"1662";"5209";"2,29";"1740,13";"7157730,29";"1212"
"150175815";"São Raimundo do Araguaia";"1200";"466";"1558";"3,24";"1345,56";"1208757,55";"1200"
