codigo_escola,enem_media_geral_2024,qtd_participantes_enem_2024
31334049,677.9157142857142,14
60000238,677.6844444444445,9
23498994,677.6742307692307,52
42012023,677.5775609756098,41
43016243,677.5766666666666,18
13031457,677.5574193548387,31
32040075,677.3456,25
41127242,677.2728125,64
60016123,677.05,4
22209603,677.0207142857142,28
43215050,676.924705882353,17
53013670,676.9237477477477,185
35581021,676.8061538461538,26
60012677,676.7674999999999,8
26189216,676.7644444444445,18
43147151,676.7636363636364,11
52033210,676.7445698924731,124
50035088,676.6544,50
26124220,676.6001294498383,103
32038224,676.5941176470589,68
42020530,676.5529745889387,223
35463085,676.3285714285714,28
31258644,676.1591304347826,23
42113083,676.0883152173913,368
33115460,676.0733333333333,45
41387392,675.9333333333334,9
31376671,675.7845454545454,22
35112902,675.7802116402116,63
35258143,675.6040196078432,68
35299789,675.6038461538462,26
53001095,675.5992478632479,195
60029245,675.5828571428572,7
41154061,675.5158620689655,29
23069864,675.4954074074075,135
31367036,675.4576923076924,26
35108145,675.4051651651652,111
43175317,675.3783561643836,73
60019397,675.2777777777778,9
60006470,675.265,4
33064776,675.2647058823529,17
23165952,675.1813333333333,130
43321054,675.087,20
33021660,675.0174666666667,100
35802839,674.9529629629629,18
60015137,674.91,6
53001087,674.7817054263566,129
43092020,674.7808333333334,24
60027023,674.7375,8
51067471,674.6221538461539,65
35286527,674.324126984127,21
31320218,674.21,14
33175195,674.1693333333334,15
60009936,674.12,4
22014543,674.0963636363637,55
35113256,674.0738562091504,51
33179999,674.010576923077,52
31322873,674.01,60
33447250,673.9324279835391,81
27220885,673.8842051282052,195
35445848,673.8358649789029,79
29442826,673.7217391304348,23
60012640,673.6777777777778,9
42118670,673.6428571428571,21
33105154,673.6226086956522,23
52033708,673.485,28
53020006,673.4823723723724,111
43083153,673.3389189189189,37
60016354,673.2066666666667,3
31096261,673.1425,72
35153163,673.128717948718,39
35162243,673.1223958333334,64
60012514,673.0,3
31354848,672.9853846153845,26
35105600,672.93625,32
17056527,672.693947368421,76
52086615,672.6463829787234,47
33063648,672.636811594203,69
35108923,672.4737074829933,196
29365023,672.4361538461538,52
23271710,672.391282051282,78
50035690,672.36375,16
33101876,672.3000000000001,17
24085634,672.2608333333334,24
42103894,672.1888888888889,18
35113852,672.1683928571429,112
35117195,672.0878947368421,38
31376191,672.03,10
35132780,671.9875,40
35103548,671.9275,92
32076223,671.8919298245614,19
35450856,671.7076767676767,33
26172739,671.6815384615385,13
