codigo_escola,codigo_municipio_enem,qtd_participantes_enem,enem_media_cn,enem_media_ch,enem_media_lc,enem_media_mt,enem_media_redacao,enem_media_geral
31310808,3102605,25,547.1727272727272,511.704,538.2959999999999,617.1318181818182,704.8,571.0365333333334
31310891,3118601,24,524.2086956521739,548.5541666666667,552.0500000000001,600.6304347826087,723.3333333333334,588.7327777777778
31310956,3151503,30,600.3833333333333,611.4033333333333,597.9633333333334,694.0866666666666,784.6666666666666,657.7006666666667
31311481,3106903,17,539.9941176470588,562.7176470588236,582.1411764705882,609.1764705882352,780.0,614.8058823529412
31312096,3124005,14,528.0,538.6642857142857,564.1785714285714,612.0571428571428,705.7142857142857,589.722857142857
31312177,3133808,28,569.7148148148148,600.032142857143,612.1607142857143,666.7518518518518,741.4285714285714,637.6042857142858
31313068,3133808,37,538.5833333333334,573.7297297297297,575.7621621621622,638.3305555555556,814.5945945945946,625.1324324324324
31313793,3133303,20,489.0210526315789,447.87,493.02,439.10526315789474,448.0,461.94466666666665
31314749,3106200,10,602.47,620.6800000000001,638.87,722.64,816.0,680.132
31314854,3107307,30,589.4300000000001,589.27,605.0633333333334,669.56,804.6666666666666,651.598
31316016,3121100,14,540.6583333333333,523.6714285714286,542.7642857142857,526.0583333333333,592.8571428571429,548.3347619047619
31316059,3157807,22,540.8909090909091,564.9,591.2818181818183,666.4499999999999,791.8181818181819,631.0681818181819
31316237,3170701,31,537.2433333333333,561.5064516129032,572.9741935483871,598.49,805.1612903225806,616.5477419354838
31316377,3144003,13,546.5692307692308,567.3461538461538,560.7076923076922,622.8615384615384,704.6153846153846,600.42
31316628,3134202,31,564.683870967742,569.9516129032259,580.0451612903227,628.7193548387097,839.3548387096774,636.5509677419356
31317101,3136702,38,642.1631578947369,646.4526315789474,623.1473684210526,753.8763157894737,884.7368421052631,710.0752631578947
31317284,3136306,35,543.2727272727273,544.7171428571428,567.7514285714285,630.9606060606061,765.1428571428571,611.851619047619
31318345,3101607,29,565.425925925926,573.2965517241379,591.1689655172414,642.4925925925926,820.0,638.4209195402299
31318523,3138807,20,564.65,554.1899999999999,565.8,631.79,769.0,617.086
31319091,3143401,10,571.51,578.1800000000001,580.98,663.8100000000001,794.0,637.696
