"CD_BAIRRO";"NM_BAIRRO";"V06001";"V06002";"V06003";"V06004";"V06005";"V06006"
"1100064011";"Boa Esperança";"186";"493";"1,61";"1985,63";"3325218,78";"1212"
"1100098001";"Centro";"638";"1635";"1,62";"3130,08";"11164805,81";"2400"
"1100098002";"São José";"697";"1929";"2,04";"2072,95";"4482439,08";"1300"
"1100098003";"Morada do Sol";"497";"1379";"1,63";"2635,66";"10679664,80";"1800"
"1100098004";"Caixa D'água";"867";"2323";"1,61";"2205,25";"4333221,12";"1500"
"1100098005";"Liberdade";"469";"1300";"1,86";"2421,79";"5483257,38";"1800"
"1100098006";"Jorge Teixeira de Oliveira";"704";"2097";"2,15";"1872,60";"4678306,06";"1300"
"1100098007";"Vista Alegre";"1095";"3018";"1,61";"2841,41";"7346768,99";"2000"
"1100098008";"Novo Horizonte";"273";"733";"1,67";"2617,31";"8302907,09";"2000"
"1100098009";"Cidade Alta";"279";"748";"1,66";"1731,07";"1209554,31";"1200"
"1100098010";"Bela Vista";"213";"621";"1,20";"2348,32";"2724629,43";"1800"
"1100098011";"Pioneiros";"95";"284";"1,95";"3684,39";"29107474,75";"2450"
"1100106001";"Triângulo";"209";"713";"4,29";"1367,13";"1047060,76";"1212"
"1100106002";"Centro";"511";"1405";"2,16";"4483,73";"22808324,42";"3000"
"1100106003";"Cristo Rey";"190";"545";"2,54";"2415,45";"8088540,33";"1212"
"1100106005";"Tamandaré";"848";"2513";"2,52";"2763,76";"9135365,84";"1575"
"1100106006";"São José";"490";"1618";"3,30";"2603,63";"9465497,21";"1500"
"1100106007";"Santa Luzia";"483";"1496";"2,37";"2704,87";"8866203,66";"2000"
"1100106008";"Dez de Abril";"606";"1810";"2,59";"2453,22";"6920101,10";"1500"
"1100106009";"Caetano";"701";"2092";"1,93";"5021,90";"1464521593,41";"2500"
"1100106010";"Liberdade";"656";"1886";"2,27";"2241,62";"5444141,11";"1300"
"1100106011";"Fátima";"295";"940";"2,78";"1756,65";"2331274,86";"1212"
"1100106012";"Próspero";"654";"2276";"3,36";"1754,79";"4898734,48";"1212"
"1100106014";"Serraria";"545";"1605";"2,31";"2958,10";"13245023,71";"2000"
"1100106015";"Santo Antônio";"436";"1433";"2,96";"1140,50";"1238883,49";"1000"
"1100106016";"Jardim das Esmeraldas";"1062";"3679";"3,59";"1378,56";"1527837,73";"1200"
"1100106017";"Nossa Senhora Aparecida";"785";"2416";"2,19";"2801,39";"8605464,22";"2000"
"1100114001";"Bela Vista";"186";"478";"1,52";"2551,78";"38776795,20";"1242"
"1100122001";"Santiago";"1021";"2792";"1,81";"2444,26";"6831893,25";"1740"
"1100122002";"União";"111";"292";"2,40";"2054,19";"5197645,01";"1212"
"1100122003";"Centro";"607";"1238";"1,35";"3449,67";"11244006,25";"2500"
"1100122004";"Urupá";"1461";"3867";"1,53";"5310,84";"50136185,63";"3000"
"1100122005";"Dois de Abril";"895";"2070";"1,70";"3487,24";"13706221,47";"2400"
"1100122006";"Casa Preta";"1178";"2994";"1,78";"3463,58";"14919254,44";"2000"
"1100122007";"Dom Bosco";"945";"2631";"1,81";"3313,19";"19026132,56";"2000"
"1100122008";"São Bernardo";"380";"1056";"1,81";"2219,56";"4391588,38";"1500"
"1100122009";"Jardim Presidencial";"1693";"4632";"1,76";"2713,36";"12777452,94";"1700"
"1100122010";"Parque São Pedro";"1209";"3415";"1,69";"2634,77";"12774663,86";"1800"
"1100122011";"Jardim dos Migrantes";"1982";"5146";"1,65";"3106,05";"15521633,99";"2000"
"1100122012";"Nossa Senhora de Fátima";"979";"2626";"1,75";"2369,60";"5994543,97";"1500"
"1100122013";"Jotão";"313";"817";"2,25";"2342,17";"4430144,60";"1500"
"1100122014";"Duque de Caxias";"230";"601";"1,75";"1813,48";"768530,86";"1400"
"1100122015";"JK";"1647";"4614";"2,07";"2115,37";"3263235,48";"1600"
"1100122016";"Jardim das Seringueiras";"1318";"3794";"1,66";"2562,36";"5143116,07";"2000"
"1100122017";"Nova Brasília";"4034";"10465";"1,72";"3010,60";"11844334,13";"2000"
"1100122018";"Conj. Mário Andreazza";"491";"1427";"1,82";"3430,85";"9951440,49";"2450"
"1100122019";"Riachuelo";"648";"1798";"1,95";"2465,45";"5175204,85";"1600"
"1100122020";"Primavera";"912";"2308";"1,92";"1973,53";"2885117,48";"1300"
"1100122021";"São Pedro";"997";"2670";"1,56";"2120,46";"5417250,25";"1300"
"1100122022";"Coronel Jorge T. de Oliveira";"1312";"3533";"1,75";"2207,73";"3020367,43";"1600"
"1100122023";"Valparaíso";"1679";"4629";"1,67";"2107,95";"2764239,37";"1500"
"1100122024";"Cafezinho";"707";"1874";"1,57";"2749,65";"12858430,85";"1800"
"1100122025";"Jardim Flórida";"343";"1014";"1,97";"1528,83";"2034245,34";"1212"
"1100122026";"São Francisco";"1024";"2922";"1,93";"1907,89";"3333950,02";"1400"
"1100122027";"Alto Alegre";"714";"2079";"1,54";"2402,29";"3502214,67";"2000"
"1100122028";"Bosque dos Ipês";"287";"899";"2,35";"1362,67";"737834,49";"1212"
