CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_MANT_ESCOLA_PRIVADA_EMP,IN_MANT_ESCOLA_PRIVADA_ONG,IN_MANT_ESCOLA_PRIVADA_SIND,IN_MANT_ESCOLA_PRIVADA_SIST_S,IN_MANT_ESCOLA_PRIVADA_S_FINS,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,IN_SALA_ATENDIMENTO_ESPECIAL,IN_ACESSIBILIDADE_RAMPAS,QT_SALAS_UTILIZADAS,IN_INTERNET,IN_EXAME_SELECAO,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,QT_MAT_MED,mat_por_sala,codigo_municipio,NO_DISTRITO,DS_ENDERECO,NU_ENDERECO,NO_BAIRRO,CO_CEP,LATITUDE,LONGITUDE,NU_CNPJ_MANTENEDORA
1100205,CENTRO DE ENSINO CLASSE A,11000058,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,37.0,1.0,0.0,3.0,11.0,12.0,9.0,4.0,0.0,1081.0,357.0,9.64864864864865,1100205,Porto Velho,CARLOS GOMES,1135,CENTRO,76801123,-8.7607343,-63.9019859,63755094000129.0
1100205,COLEGIO SAPIENS - UNIDADE JARDIM DAS MANGUEIRAS,11000198,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,1.0,0.0,11.0,15.0,13.0,6.0,0.0,0.0,978.0,197.0,5.628571428571429,1100205,Porto Velho,PAULO FREIRE,4767,FLODOALDO PONTES PINTO,76820514,-8.7524037,-63.868376,5919287000171.0
1100205,COLEGIO SAPIENS - UNIDADE JARDIM AMERICA,11000252,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,27.0,1.0,0.0,10.0,16.0,10.0,5.0,0.0,0.0,694.0,125.0,4.62962962962963,1100205,Porto Velho,EMIL GORAYEB,3505,SÃO JOÃO BOSCO,76803728,-8.7508011,-63.9009256,5919287000333.0
1100205,COLEGIO ADVENTISTA DE PORTO VELHO,11000350,4,4.0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,25.0,1.0,0.0,6.0,16.0,14.0,8.0,6.0,0.0,978.0,177.0,7.08,1100205,Porto Velho,PREFEITO CHIQUILITO ERSE,2166,NOVA PORTO VELHO,76820161,-8.7576788,-63.8747718,17340112002561.0
1100205,CENTRO EDUCACIONAL DR GILBERTO MENDES DE AZEVEDO,11000880,4,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,31.0,1.0,1.0,4.0,16.0,17.0,8.0,3.0,1.0,1265.0,310.0,10.0,1100205,Porto Velho,RIO DE JANEIRO,4734,LAGOA,76812080,-8.7693773,-63.8708239,3783989000145.0
1100205,INSTITUTO LAURA VICUNA,11003081,4,4.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,26.0,1.0,0.0,7.0,14.0,12.0,3.0,0.0,0.0,730.0,104.0,4.0,1100205,Porto Velho,BENJAMIN CONSTANT,1531,OLARIA,76801252,-8.7555528,-63.9001412,5210570000120.0
1100205,INSTITUTO MARIA AUXILIADORA,11003090,4,4.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,178.0,88.0,12.571428571428571,1100205,Porto Velho,IRMA CAPELLI,41,CENTRO,76801082,-8.7655752,-63.9025366,5898754000124.0
1100205,CENTRO DE ENSINO MINEIRO,11037474,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,26.0,1.0,0.0,3.0,9.0,8.0,4.0,3.0,0.0,603.0,133.0,5.115384615384615,1100205,Porto Velho,CALAMA,5262,FLODOALDO PONTES PINTO,76820594,-8.7451584,-63.8687132,4342343000195.0
1100205,COLEGIO CLASSE A,11043857,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,1.0,0.0,2.0,5.0,5.0,3.0,1.0,0.0,388.0,122.0,8.133333333333333,1100205,Porto Velho,TUTOIA,3340,ELETRONORTE,76808668,-8.7871613,-63.8971534,19223912000150.0
1100205,ESCOLA MARCELO CANDIA SUBSEDE I,11048450,4,4.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,0.0,0.0,16.0,12.0,10.0,0.0,0.0,1395.0,344.0,17.2,1100205,Porto Velho,PETROLINA,10804,MARIANA,76813690,-8.7803559,-63.8102449,15449585000107.0
