CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,QT_SALAS_UTILIZADAS,IN_INTERNET,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,QT_MAT_MED,mat_por_sala,codigo_municipio,DS_ENDERECO,NU_ENDERECO,CO_CEP,NU_CNPJ_MANTENEDORA
3524303,POLIGENES COLEGIO,35288412,4,1.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,3.0,8.0,4.0,3.0,0.0,0.0,248.0,60.0,3.333333333333333,3524303,VINTE E QUATRO DE MAIO,1365,14870790,8824847000100.0
3524303,COC CARDIOFISICO,35301224,4,1.0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,20.0,1.0,9.0,8.0,4.0,3.0,0.0,0.0,472.0,103.0,5.15,3524303,MARECHAL DEODORO,1000,14870180,51281805000191.0
3524303,NOVO ANGLO JABOTICABAL ESCOLA,35439113,4,1.0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,76.0,76.0,19.0,3524303,LOCKE DOUTOR,309,14882040,11286027000109.0
3524402,COLEGIO HEXAGONAL JACAREI,35007595,4,1.0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,13.0,1.0,0.0,8.0,7.0,1.0,0.0,0.0,357.0,29.0,2.230769230769231,3524402,BORBA GATO,48,12327681,99999999999999.0
3524402,ESCOLA SENAI ELIAS MIGUEL HADDAD,35008237,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,13.0,1.0,0.0,0.0,0.0,6.0,19.0,0.0,400.0,0.0,0.0,3524402,ANTONIO FOGACA DE ALMEIDA,355,12322030,3774819000102.0
3524402,SESI 160 CENTRO EDUCACIONAL,35110875,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,19.0,1.0,0.0,10.0,10.0,8.0,5.0,0.0,894.0,253.0,13.31578947368421,3524402,ANTONIO FERREIRA RIZZINI,600,12322120,3779133000104.0
3524402,INSTITUTO DE EDUCACAO THEREZA PORTO MARQUES,35110899,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.0,1.0,0.0,11.0,15.0,8.0,0.0,0.0,944.0,233.0,6.852941176470588,3524402,GENERAL CARNEIRO,341,12308061,48962708000150.0
3524402,ANTONIO AFONSO COLEGIO,35110917,4,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,12.0,1.0,0.0,5.0,5.0,3.0,0.0,0.0,184.0,57.0,4.75,3524402,GENERAL CARNEIRO,585,12308061,50480599000186.0
3524402,INSTITUTO DE TECNOLOGIA DE JACAREI,35110929,4,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1.0,7.0,13.0,0.0,249.0,168.0,5.6,3524402,SIQUEIRA CAMPOS,1174,12307000,99999999999999.0
3524402,COLEGIO ANGLO JACAREI ENSINO MEDIO E PRE VESTIBULAR,35126196,4,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,287.0,287.0,23.916666666666668,3524402,RAMIRA CABRAL,57,12327300,4183388000164.0
