CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_MANT_ESCOLA_PRIVADA_EMP,IN_MANT_ESCOLA_PRIVADA_ONG,IN_MANT_ESCOLA_PRIVADA_SIND,IN_MANT_ESCOLA_PRIVADA_SIST_S,IN_MANT_ESCOLA_PRIVADA_S_FINS,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,IN_SALA_ATENDIMENTO_ESPECIAL,IN_ACESSIBILIDADE_RAMPAS,QT_SALAS_UTILIZADAS,IN_INTERNET,IN_EXAME_SELECAO,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,QT_MAT_MED,mat_por_sala,codigo_municipio,codigo_escola,qtd_participantes_enem,enem_media_geral,indice_infra,indice_inclusao,confiavel_enem,percentil_enem,percentil_infra,percentil_inclusao,percentil_seletividade,score_destaque
1200401,ESC ASSOCIACAO MODELAR DE ENSINO A M E,12022969,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,0.0,3.0,8.0,7.0,3.0,3.0,0.0,391.0,109.0,7.266666666666667,1200401,12022969,28.0,556.0614285714286,5.0,2.0,True,0.18380790480237993,0.8642158946026349,0.8889715257118572,0.3822779430514237,0.3311
1200401,COLEGIO ALTERNATIVO DO ACRE,12026409,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,132.0,102.0,17.0,1200401,12026409,29.0,590.8641379310345,3.0,2.0,True,0.45728856778580534,0.3556098597535062,0.8889715257118572,0.3822779430514237,0.4599
1200401,ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO,12026530,4,4.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,2.0,10.0,8.0,6.0,0.0,0.0,873.0,236.0,18.153846153846157,1200401,12026530,72.0,579.7952777777778,4.0,2.0,True,0.3727156821079473,0.5939226519337016,0.8889715257118572,0.8811092222694432,0.4571
1200401,ESC SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL,12028096,4,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,74.0,1.0,0.0,0.0,0.0,0.0,61.0,64.0,0.0,411.0,0.0,0.0,1200401,12028096,,,3.0,1.0,False,,,,,
1200401,ESC SENAI CEL AUTON FURTADO- SENAI,12028100,4,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,1.0,1.0,0.0,0.0,0.0,14.0,25.0,0.0,177.0,0.0,0.0,1200401,12028100,,,2.0,1.0,False,,,,,
1200401,COLEGIO LATO SENSU,12028835,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,1.0,1.0,0.0,6.0,8.0,5.0,0.0,0.0,495.0,144.0,5.538461538461538,1200401,12028835,38.0,672.3068421052632,4.0,2.0,True,0.930939226519337,0.5939226519337016,0.8889715257118572,0.8811092222694432,0.8758
1200401,ESC DE ENSINO MEDIO E TECNICO PLACIDO DE CASTRO,12030058,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,161.0,161.0,26.83333333333333,1200401,12030058,46.0,635.9234782608695,4.0,2.0,True,0.7724181895452613,0.5939226519337016,0.8889715257118572,0.3822779430514237,0.732
1200401,ESC COLEGIO SIGMA,12031682,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,27.0,1.0,0.0,4.0,12.0,7.0,4.0,0.0,0.0,548.0,120.0,4.444444444444445,1200401,12031682,50.0,676.6075999999999,4.0,2.0,True,0.9390140246493838,0.5939226519337016,0.8889715257118572,0.3822779430514237,0.8569
1200401,INSTITUTO SENAI DE TECNOLOGIA MADEIRA E MOVEIS,12032271,4,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,14.0,24.0,0.0,316.0,0.0,0.0,1200401,12032271,,,3.0,1.0,False,,,,,
1200401,ESC COLEGIO BATISTA BETEL,12032859,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,1.0,0.0,9.0,13.0,8.0,2.0,0.0,0.0,494.0,27.0,1.0,1200401,12032859,,,4.0,2.0,False,,,,,
