CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,QT_SALAS_UTILIZADAS,IN_INTERNET,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,qt_mat_med_2025,mat_por_sala,codigo_municipio,qt_mat_med_2023,crescimento_pct
1302603,COLEGIO MARIA ANGELIM,13093126,4,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,20.0,1.0,6.0,10.0,7.0,3.0,0.0,0.0,477.0,80.0,4.0,1302603,75.0,6.7
1302603,CENTRO EDUCACIONAL NADIR SOARES,13097288,4,1.0,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,15.0,1.0,0.0,20.0,8.0,2.0,0.0,0.0,445.0,36.0,2.4,1302603,0.0,
1302603,CENTRO DE EDUCACAO INTEGRAL CHRIST MASTER,13098284,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,8.0,10.0,9.0,9.0,0.0,0.0,705.0,187.0,8.5,1302603,172.0,8.7
1302603,INSTITUTO ENSINO THIAGO BRANDAO DE OLIVEIRA,13098306,4,1.0,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,16.0,1.0,4.0,10.0,7.0,3.0,0.0,0.0,437.0,31.0,1.9375,1302603,34.0,-8.8
1302603,COLEGIO DOM BOSCO LESTE,13098519,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,1.0,2.0,10.0,8.0,6.0,1.0,0.0,477.0,122.0,4.6923076923076925,1302603,155.0,-21.3
1302603,CENTRO POSITIVIANO DE ENSINO,13099914,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,3.0,4.0,3.0,1.0,0.0,0.0,56.0,5.0,0.3125,1302603,80.0,-93.8
1302603,CENTRO EDUCACIONAL LATO SENSU III,13099981,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,42.0,1.0,7.0,16.0,12.0,5.0,1.0,0.0,1026.0,172.0,4.095238095238095,1302603,140.0,22.9
1302603,CENTRO DE ENSINO NIVEA ROQUE,13100629,4,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,20.0,1.0,8.0,10.0,11.0,4.0,4.0,0.0,778.0,100.0,5.0,1302603,65.0,53.8
1302603,ESCOLA INTERNACIONAL DO AMAZONAS LTDA,13100750,4,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,24.0,1.0,0.0,5.0,4.0,3.0,0.0,0.0,160.0,41.0,1.7083333333333333,1302603,36.0,13.9
1302603,CENTRO EDUCACIONAL HERANCA DO SENHOR,13101080,4,1.0,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,20.0,1.0,15.0,21.0,16.0,3.0,0.0,0.0,1015.0,34.0,1.7,1302603,27.0,25.9
1302603,ESCOLA SENAI ANTONIO SIMOES,13101250,4,1.0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,30.0,1.0,0.0,0.0,0.0,1.0,47.0,0.0,692.0,0.0,0.0,1302603,0.0,
1302603,CENTRO EDUCACIONAL SECULO,13101765,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,1.0,9.0,6.0,4.0,3.0,0.0,0.0,292.0,39.0,1.054054054054054,1302603,18.0,116.7
1302603,LATO SENSU IV,13102192,4,1.0,1,0.0,1.0,1.0,0.0,0.0,1.0,1.0,18.0,1.0,6.0,10.0,7.0,3.0,1.0,0.0,561.0,96.0,5.333333333333333,1302603,90.0,6.7
1302603,CENTRO EDUCACIONAL AJURICABA,13104586,4,1.0,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,10.0,1.0,0.0,10.0,8.0,3.0,0.0,0.0,436.0,85.0,8.5,1302603,70.0,21.4
1302603,ESCOLA NILTON LINS JAPIIM,13105337,4,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,31.0,1.0,0.0,3.0,4.0,3.0,0.0,0.0,107.0,54.0,1.7419354838709675,1302603,76.0,-28.9
1302603,CONNEXUS ENSINO FUNDAMENTAL E MEDIO LTDA,13105493,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,0.0,10.0,6.0,3.0,0.0,0.0,322.0,82.0,5.857142857142857,1302603,45.0,82.2
1302603,COLEGIO SANTO AFONSO,13106902,4,1.0,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,30.0,1.0,15.0,14.0,5.0,2.0,0.0,0.0,488.0,16.0,0.5333333333333333,1302603,0.0,
1302603,ESCOLAS IDAAM,13107380,4,1.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,1.0,4.0,7.0,5.0,3.0,0.0,0.0,462.0,100.0,5.2631578947368425,1302603,99.0,1.0
1302603,ESCOLAS IDAAM,13108727,4,1.0,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,22.0,1.0,2.0,7.0,6.0,6.0,0.0,0.0,534.0,205.0,9.318181818181818,1302603,133.0,54.1
