codigo_escola;faixa_rank_cidade;faixa_ordem
35126895;Top 5;1
35139622;Top 5;1
35115712;Top 5;1
35125982;Top 5;1
35153795;Top 5;1
35192399;Top 5;1
35299789;Top 5;1
35010473;Top 5;1
35113219;Top 5;1
35113256;Top 5;1
35136050;Top 5;1
35150435;Top 5;1
35113426;Top 5;1
35130606;Top 5;1
35152812;Top 5;1
35388786;Top 5;1
35811142;Top 5;1
35117547;Top 5;1
35117560;Top 5;1
35117572;Top 5;1
35117614;Top 5;1
35126044;Top 5;1
35108601;Top 5;1
35108613;Top 5;1
35125799;Top 5;1
35125817;Top 5;1
35185383;Top 5;1
35108339;Top 5;1
35122993;Top 5;1
35126974;Top 5;1
35135094;Top 5;1
35430146;Top 5;1
35136098;Top 5;1
35138836;Top 5;1
35140673;Top 5;1
35140685;Top 5;1
35150022;Top 5;1
35007828;Top 5;1
35109460;Top 5;1
35120637;Top 5;1
35135288;Top 5;1
35800200;Top 5;1
35004901;Top 5;1
35117705;Top 5;1
35123808;Top 5;1
35141392;Top 5;1
35150459;Top 5;1
35005656;Top 5;1
35007666;Top 5;1
35151993;Top 5;1
35158446;Top 5;1
35165049;Top 5;1
35110826;Top 5;1
35133097;Top 5;1
35158379;Top 5;1
35286527;Top 5;1
35288032;Top 5;1
35007022;Top 5;1
35113724;Top 5;1
35113759;Top 5;1
35113852;Top 5;1
35165943;Top 5;1
35151907;Top 5;1
35136876;Top 5;1
35136888;Top 5;1
35138654;Top 5;1
35449143;Top 5;1
35805257;Top 5;1
35117195;Top 5;1
35121381;Top 5;1
35165773;Top 5;1
35185619;Top 5;1
35300895;Top 5;1
35105824;Top 5;1
35108637;Top 5;1
35128120;Top 5;1
35141495;Top 5;1
35440656;Top 5;1
35114820;Top 5;1
35114960;Top 5;1
35290804;Top 5;1
35449003;Top 5;1
35114832;Top 5;1
35004193;Top 5;1
35114030;Top 5;1
35114066;Top 5;1
35114078;Top 5;1
35159013;Top 5;1
35111788;Top 5;1
35123675;Top 5;1
35130643;Top 5;1
35583674;Top 5;1
35140612;Top 5;1
35150642;Top 5;1
35174836;Top 5;1
35499092;Top 5;1
35121721;Top 5;1
35141355;Top 5;1
35141367;Top 5;1
35153163;Top 5;1
35369226;Top 5;1
35108698;Top 5;1
35135148;Top 5;1
35139178;Top 5;1
35143736;Top 5;1
35173186;Top 5;1
35109708;Top 5;1
35131829;Top 5;1
35154295;Top 5;1
35186260;Top 5;1
35810939;Top 5;1
35142612;Top 5;1
35142967;Top 5;1
35152729;Top 5;1
35583224;Top 5;1
35802578;Top 5;1
35109198;Top 5;1
35135203;Top 5;1
35139208;Top 5;1
35154775;Top 5;1
35802839;Top 5;1
35007524;Top 5;1
35125436;Top 5;1
35125441;Top 5;1
35170331;Top 5;1
35121307;Top 5;1
35004215;Top 5;1
35116373;Top 5;1
35188712;Top 5;1
35504324;Top 5;1
35809159;Top 5;1
35004369;Top 5;1
35137170;Top 5;1
35140065;Top 5;1
35175572;Top 5;1
35805555;Top 5;1
35399197;Top 5;1
35143406;Top 5;1
35165347;Top 5;1
35103524;Top 5;1
35162243;Top 5;1
35005406;Top 5;1
35110450;Top 5;1
35144320;Top 5;1
35151130;Top 5;1
35290452;Top 5;1
35114637;Top 5;1
35125465;Top 5;1
35164948;Top 5;1
35367679;Top 5;1
35441259;Top 5;1
35122968;Top 5;1
35137674;Top 5;1
35141586;Top 5;1
35165578;Top 5;1
35450339;Top 5;1
35121435;Top 5;1
35154258;Top 5;1
35497236;Top 5;1
35142098;Top 5;1
35151774;Top 5;1
35151798;Top 5;1
35287131;Top 5;1
35288378;Top 5;1
35118722;Top 5;1
35124862;Top 5;1
35140090;Top 5;1
35144034;Top 5;1
35560728;Top 5;1
35007094;Top 5;1
35112057;Top 5;1
35139506;Top 5;1
35158616;Top 5;1
35463401;Top 5;1
35111363;Top 5;1
35118564;Top 5;1
35140193;Top 5;1
35140995;Top 5;1
35161861;Top 5;1
35007952;Top 5;1
35131970;Top 5;1
35136025;Top 5;1
35164768;Top 5;1
35286187;Top 5;1
35143443;Top 5;1
35159918;Top 5;1
35567863;Top 5;1
35802281;Top 5;1
41025466;Top 5;1
41025954;Top 5;1
41026039;Top 5;1
41026241;Top 5;1
41368649;Top 5;1
41026810;Top 5;1
41027000;Top 5;1
41027051;Top 5;1
41123794;Top 5;1
41123832;Top 5;1
41158253;Top 5;1
41360044;Top 5;1
41382706;Top 5;1
41028945;Top 5;1
41152689;Top 5;1
41071859;Top 5;1
41071913;Top 5;1
41071921;Top 5;1
41150392;Top 5;1
41377001;Top 5;1
41125657;Top 5;1
41126289;Top 5;1
41163117;Top 5;1
41127242;Top 5;1
41130987;Top 5;1
41133153;Top 5;1
41148142;Top 5;1
41352866;Top 5;1
41149971;Top 5;1
41163761;Top 5;1
41075927;Top 5;1
41076087;Top 5;1
41076290;Top 5;1
41076800;Top 5;1
41407423;Top 5;1
41099605;Top 5;1
41158709;Top 5;1
41162420;Top 5;1
41386329;Top 5;1
41100700;Top 5;1
41030095;Top 5;1
41031105;Top 5;1
41032039;Top 5;1
41033310;Top 5;1
41358899;Top 5;1
41024397;Top 5;1
41024613;Top 5;1
41144490;Top 5;1
41150996;Top 5;1
41377370;Top 5;1
41140362;Top 5;1
41140397;Top 5;1
41140834;Top 5;1
41366522;Top 5;1
41141008;Top 5;1
41135946;Top 5;1
41157990;Top 5;1
41160258;Top 5;1
41397029;Top 5;1
41063015;Top 5;1
41063252;Top 5;1
41063309;Top 5;1
41063350;Top 5;1
41151844;Top 5;1
41137833;Top 5;1
41138430;Top 5;1
41162269;Top 5;1
41354869;Top 5;1
41387155;Top 5;1
41068610;Top 5;1
41068785;Top 5;1
41156781;Top 5;1
41158768;Top 5;1
41159683;Top 5;1
41007808;Top 5;1
41007883;Top 5;1
41008545;Top 5;1
41008758;Top 5;1
41382161;Top 5;1
42114012;Top 5;1
42144329;Top 5;1
42151775;Top 5;1
42153824;Top 5;1
42162890;Top 5;1
42015588;Top 5;1
42016142;Top 5;1
42016150;Top 5;1
42016207;Top 5;1
42160642;Top 5;1
42080258;Top 5;1
42080746;Top 5;1
42155274;Top 5;1
42155541;Top 5;1
42130930;Top 5;1
42155649;Top 5;1
