unidade_propria;coordenada_exata;escola_lead;cidade;bairro;segmento_comercial;score_destaque;distancia_km;risco_canibalizacao
São Paulo (Vila Mariana, coord. aproximada);False;BEATISSIMA VIRGEM MARIA INSTITUTO DE EDUCACAO;São Paulo;SANTO AMARO;Outras posições;0,7361;6,87;baixo
Campinas (Taquaral);True;RIO BRANCO COLEGIO;Campinas;BARAO GERALDO;Desafiante (2º-5º local);0,815;6,92;baixo
São Paulo (Perdizes/Barra Funda);True;ESCOLA NOVA LOURENCO UNIDADE IV;São Paulo;VILA NOVA CONCEICAO;Outras posições;0,7819;7,01;baixo
São Paulo (Perdizes/Barra Funda);True;BEACON SCHOOL;São Paulo;VILA LEOPOLDINA;Outras posições;0,862;7,27;baixo
São Paulo (Perdizes/Barra Funda);True;MIRANDA COLEGIO DE EIFM;São Paulo;VILA MARIA EUGENIA;Outras posições;0,7956;7,7;baixo
São Paulo (Perdizes/Barra Funda);True;ESCOLA CARANDA VIVA VIDA;São Paulo;MIRANDOPOLIS;Outras posições;0,7867;7,79;baixo
São Paulo (Perdizes/Barra Funda);True;DOM BOSCO COLEGIO UNID III;São Paulo;PARQUE MANDAQUI;Outras posições;0,737;7,89;baixo
São Paulo (Perdizes/Barra Funda);True;MOBILE COLEGIO;São Paulo;VILA NOVA CONCEICAO;Desafiante (2º-5º local);0,9083;7,92;baixo
São Paulo (Vila Mariana, coord. aproximada);False;DOMINUS VIVENDI COLEGIO EIFM;São Paulo;VILA MASCOTE;Outras posições;0,7408;7,95;baixo
São Paulo (Vila Mariana, coord. aproximada);False;OBJETIVO CENTRO INTERESCOLAR UNIDADE PAZ;São Paulo;SANTO AMARO;Outras posições;0,7346;8,17;baixo
São Paulo (Vila Mariana, coord. aproximada);False;MIGUEL DE CERVANTES COLEGIO;São Paulo;VILA PROGREDIOR;Outras posições;0,8829;8,46;baixo
São Paulo (Perdizes/Barra Funda);True;PIONEIRO CENTRO EDUCACIONAL;São Paulo;VILA CLEMENTINO;Outras posições;0,7655;8,66;baixo
São Paulo (Perdizes/Barra Funda);True;VITAL BRAZIL COLEGIO;São Paulo;VILA BUTANTA;Outras posições;0,7792;8,75;baixo
São Paulo (Perdizes/Barra Funda);True;MIGUEL DE CERVANTES COLEGIO;São Paulo;VILA PROGREDIOR;Outras posições;0,8829;8,75;baixo
São Paulo (Vila Mariana, coord. aproximada);False;COLEGIO FRANCISCANO PIOXII;São Paulo;FAZENDA MORUMBI;Desafiante (2º-5º local);0,8995;8,8;baixo
São Paulo (Vila Mariana, coord. aproximada);False;SUICO BRASILEIRA SAO PAULO ESCOLA;São Paulo;JARDIM DOS ESTADOS;Outras posições;0,7299;8,94;baixo
São Paulo (Perdizes/Barra Funda);True;NOSSA SENHORA DO ROSARIO COLEGIO;São Paulo;VILA MARIANA;Outras posições;0,8856;8,99;baixo
São Paulo (Vila Mariana, coord. aproximada);False;ESCOLA BILINGUE PUERI DOMUS UNIDADE I VERBO DIVINO;São Paulo;CHACARA SANTO ANTONIO ZONA SUL;Outras posições;0,7463;9,05;baixo
São Paulo (Perdizes/Barra Funda);True;OBJETIVO CENTRO INTERESCOLAR UNIDADE IPIRANGA;São Paulo;IPIRANGA;Outras posições;0,7335;9,12;baixo
São Paulo (Perdizes/Barra Funda);True;FUTURO ESCOLA DO;São Paulo;VILA SAO FRANCISCO;Outras posições;0,7301;9,21;baixo
São Paulo (Vila Mariana, coord. aproximada);False;OBJETIVO CENTRO INTERESCOLAR UNIDADE POMPEIA;São Paulo;AGUA BRANCA;Outras posições;0,7061;9,23;baixo
São Paulo (Vila Mariana, coord. aproximada);False;BRASILIA DE SAO PAULO COLEGIO;São Paulo;VILA FORMOSA;Outras posições;0,8653;9,27;baixo
São Paulo (Perdizes/Barra Funda);True;JARDIM SAO PAULO UNIDADE TREMEMBE COLEGIO;São Paulo;TUCURUVI;Outras posições;0,7935;9,27;baixo
São Paulo (Vila Mariana, coord. aproximada);False;INSTITUTO DE ENSINO NOVO DINAMICO;São Paulo;SITIO PINHEIRINHO;Outras posições;0,7831;9,38;baixo
São Paulo (Perdizes/Barra Funda);True;AUGUSTO LARANJA COLEGIO UNIDADE I;São Paulo;INDIANOPOLIS;Desafiante (2º-5º local);0,9155;9,46;baixo
São Paulo (Vila Mariana, coord. aproximada);False;JARDIM SAO PAULO COLEGIO;São Paulo;JARDIM SAO PAULO;Outras posições;0,8716;9,75;baixo
São Paulo (Perdizes/Barra Funda);True;VERTICE COLEGIO UNIDADE II;São Paulo;CAMPO BELO;Outras posições;0,8659;9,92;baixo
São Paulo (Vila Mariana, coord. aproximada);False;IMPERATRIZ LEOPOLDINA COLEGIO;São Paulo;SANTANA;Outras posições;0,8229;10,24;baixo
São Paulo (Vila Mariana, coord. aproximada);False;MAGNO COLEGIO;São Paulo;PARQUE RESIDENCIAL JULIA;Outras posições;0,8277;10,24;baixo
São Paulo (Vila Mariana, coord. aproximada);False;COLEGIO SANTO IVO;São Paulo;ALTO DA LAPA;Outras posições;0,8062;10,62;baixo
São Paulo (Perdizes/Barra Funda);True;COLEGIO ANGLO LEONARDO DA VINCI;São Paulo;VILA SONIA;Outras posições;0,7104;10,67;baixo
São Paulo (Perdizes/Barra Funda);True;STOCKLER COLEGIO;São Paulo;BROOKLIN PAULISTA;Outras posições;0,7913;10,68;baixo
São Paulo (Perdizes/Barra Funda);True;BEATISSIMA VIRGEM MARIA INSTITUTO DE EDUCACAO;São Paulo;SANTO AMARO;Outras posições;0,7361;10,68;baixo
São Paulo (Vila Mariana, coord. aproximada);False;PENHENSE ESCOLA ESP;São Paulo;PENHA DE FRANCA;Outras posições;0,7437;10,86;baixo
São Paulo (Vila Mariana, coord. aproximada);False;COLEGIO MAGISTER;São Paulo;JARDIM TAQUARAL;Outras posições;0,7424;10,87;baixo
São Paulo (Vila Mariana, coord. aproximada);False;COLEGIO ANGLO LEONARDO DA VINCI;São Paulo;VILA SONIA;Outras posições;0,7104;10,89;baixo
São Paulo (Vila Mariana, coord. aproximada);False;VITAL BRAZIL COLEGIO;São Paulo;VILA BUTANTA;Outras posições;0,7792;10,9;baixo
São Paulo (Perdizes/Barra Funda);True;GREEN BOOK SCHOOL ENSINO FUNDAMENTAL E MEDIO;São Paulo;CAMPO BELO;Outras posições;0,7113;10,92;baixo
São Paulo (Perdizes/Barra Funda);True;COLEGIO FRANCISCANO PIOXII;São Paulo;FAZENDA MORUMBI;Desafiante (2º-5º local);0,8995;11,07;baixo
