codigo_escola,NO_ENTIDADE,codigo_municipio,rank_municipio,n_escolas_confiaveis_municipio,segmento_comercial,rede_propria_poliedro,enem_media_geral,qtd_participantes_enem,indice_infra,QT_MAT_MED,score_destaque,produto_alvo,enem_media_geral_2024,qtd_participantes_enem_2024,enem_media_2anos,delta_enem_2025_2024
35006190,COLEGIO PROGRESSO ITU,3523909,3.0,9,Desafiante (2º-5º local),False,658.6659999999999,20.0,1.0,78.0,0.7216,Poliedro,654.0494736842105,19.0,656.4169230769231,4.616526315789429
31054135,COLEGIO FRANCISCANO IMACULADA CONCEICAO,3127701,3.0,7,Desafiante (2º-5º local),False,623.2280272108843,49.0,5.0,165.0,0.7216,Poliedro,634.3532142857142,56.0,629.1614603174604,-11.12518707482991
35159013,COLEGIO OBJETIVO DE RIO CLARO,3543907,2.0,8,Desafiante (2º-5º local),False,628.7387301587302,63.0,5.0,238.0,0.7216,Poliedro,658.86,52.0,642.3587826086957,-30.12126984126985
29408148,COLEGIO MATISSE,2918001,2.0,4,Desafiante (2º-5º local),False,644.5497959183673,49.0,3.0,145.0,0.7215,Poliedro,621.5611428571428,35.0,634.9711904761905,22.988653061224454
24285323,OVER COLEGIO E CURSO,2408102,17.0,48,Outras posições,False,653.249375,32.0,2.0,80.0,0.7211,Poliedro,662.7194285714286,35.0,658.1964179104478,-9.470053571428593
42080746,COLEGIO CONSUL CARLOS RENAUX,4202909,3.0,5,Desafiante (2º-5º local),False,628.6126388888889,48.0,5.0,269.0,0.7211,Poliedro,660.3923655913978,62.0,646.5248484848486,-31.779726702508924
41024397,PRO C-EM,4115200,1.0,21,Líder local,False,646.1441025641026,65.0,3.0,372.0,0.7211,Poliedro,648.0794520547946,73.0,647.1678743961354,-1.9353494906920332
32038240,COLEGIO SAO JOSE,3205200,3.0,23,Desafiante (2º-5º local),False,624.3153846153847,26.0,5.0,101.0,0.7209,Poliedro,627.8636363636364,22.0,625.9416666666667,-3.548251748251687
52020592,COLEGIO SAO FRANCISCO DE ASSIS,5201108,4.0,11,Desafiante (2º-5º local),False,624.198,20.0,5.0,90.0,0.7204,Poliedro,622.5619047619048,21.0,623.36,1.6360952380952085
35140806,CANADA COLEGIO,3518800,7.0,57,Outras posições,False,645.7504166666666,48.0,3.0,145.0,0.7203,Poliedro,664.7980740740741,45.0,654.9670250896057,-19.047657407407428
35161861,PROGRESSAO COLEGIO,3554102,4.0,15,Desafiante (2º-5º local),False,669.098947368421,76.0,0.0,255.0,0.7201,Poliedro,662.3419819819819,74.0,665.7655111111111,6.756965386439106
17055962,COLEGIO PRESBITERIANO MACKENZIE PALMAS,1721000,4.0,14,Desafiante (2º-5º local),False,628.40125,16.0,5.0,113.0,0.7201,Poliedro,617.9035087719298,19.0,622.7024761904762,10.497741228070254
23071400,SANTA ISABEL COLEGIO,2304400,31.0,117,Outras posições,False,618.8852631578948,76.0,5.0,228.0,0.7198,Poliedro,614.5691803278688,61.0,616.9635036496351,4.316082830025948
11049073,COLEGIO SAPIENS - UNIDADE INTENSIVO,1100205,3.0,13,Desafiante (2º-5º local),False,628.2610810810811,37.0,5.0,73.0,0.7196,Poliedro,624.9125925925925,27.0,626.8484375,3.348488488488556
35107773,SUICO BRASILEIRA SAO PAULO ESCOLA,3550308,71.0,516,Outras posições,False,628.2377777777779,36.0,5.0,166.0,0.7195,Poliedro,627.6764705882352,34.0,627.965142857143,0.5613071895426174
