codigo_escola;segmento_golden_lead;segmento_ordem
32076363;🟡 Golden Leads (1.127);1
32010311;🟡 Golden Leads (1.127);1
32074182;🟡 Golden Leads (1.127);1
32018134;🟡 Golden Leads (1.127);1
32036671;🟡 Golden Leads (1.127);1
32038178;🟡 Golden Leads (1.127);1
32038224;🟡 Golden Leads (1.127);1
32038240;🟡 Golden Leads (1.127);1
32038720;🟡 Golden Leads (1.127);1
32083343;🟡 Golden Leads (1.127);1
32040032;🟡 Golden Leads (1.127);1
32040040;🟡 Golden Leads (1.127);1
32040075;🟡 Golden Leads (1.127);1
32040083;🟡 Golden Leads (1.127);1
32040210;🟡 Golden Leads (1.127);1
32041152;🟡 Golden Leads (1.127);1
32041373;🟡 Golden Leads (1.127);1
32041411;🟡 Golden Leads (1.127);1
32074964;🟡 Golden Leads (1.127);1
32077610;🟡 Golden Leads (1.127);1
32083882;🟡 Golden Leads (1.127);1
33156913;🟡 Golden Leads (1.127);1
33168202;🟡 Golden Leads (1.127);1
33195463;🟡 Golden Leads (1.127);1
33029490;🟡 Golden Leads (1.127);1
33027404;🟡 Golden Leads (1.127);1
33027722;🟡 Golden Leads (1.127);1
33008221;🟡 Golden Leads (1.127);1
33009783;🟡 Golden Leads (1.127);1
33120544;🟡 Golden Leads (1.127);1
33199558;🟡 Golden Leads (1.127);1
33098980;🟡 Golden Leads (1.127);1
33139881;🟡 Golden Leads (1.127);1
33166927;🟡 Golden Leads (1.127);1
33055416;🟡 Golden Leads (1.127);1
33055866;🟡 Golden Leads (1.127);1
33055882;🟡 Golden Leads (1.127);1
33055890;🟡 Golden Leads (1.127);1
33055920;🟡 Golden Leads (1.127);1
33055947;🟡 Golden Leads (1.127);1
33055955;🟡 Golden Leads (1.127);1
33057109;🟡 Golden Leads (1.127);1
33057206;🟡 Golden Leads (1.127);1
33140502;🟡 Golden Leads (1.127);1
33150931;🟡 Golden Leads (1.127);1
33155259;🟡 Golden Leads (1.127);1
33161429;🟡 Golden Leads (1.127);1
33165920;🟡 Golden Leads (1.127);1
33165998;🟡 Golden Leads (1.127);1
33179999;🟡 Golden Leads (1.127);1
33180385;🟡 Golden Leads (1.127);1
33194688;🟡 Golden Leads (1.127);1
33196214;🟡 Golden Leads (1.127);1
33198640;🟡 Golden Leads (1.127);1
33201927;🟡 Golden Leads (1.127);1
33021660;🟡 Golden Leads (1.127);1
33021724;🟡 Golden Leads (1.127);1
33021740;🟡 Golden Leads (1.127);1
33102830;🟡 Golden Leads (1.127);1
