codigo_municipio,populacao_total,qtd_escolas_elegiveis,qtd_escolas_com_enem,enem_media_praca,populacao_0_17,score_socioeconomico,percentil_socioeconomico,percentil_volume_escolas,percentil_qualidade_enem,score_priorizacao,nome_municipio_ibge,uf
3548500,418608,37.0,28.0,606.995568917669,74193,0.7313350933119964,0.9811320754716981,0.9135220125786163,0.5079365079365079,0.8189,Santos,SP
3548906,254857,14.0,13.0,626.924486452426,52466,0.412734291938813,0.889937106918239,0.7122641509433962,0.8285714285714286,0.8182,São Carlos,SP
3549805,480393,39.0,29.0,611.1233018273473,96786,0.43567305830579756,0.9119496855345912,0.9182389937106918,0.5777777777777777,0.8136,São José do Rio Preto,SP
3550308,11451999,603.0,447.0,602.0704198104081,2377363,0.538323112625207,0.9528301886792453,1.0,0.43492063492063493,0.8116,São Paulo,SP
3303906,278881,30.0,18.0,624.9089645390071,55841,0.3421749781221927,0.7578616352201258,0.8883647798742138,0.8,0.8097,Petrópolis,RJ
4316907,271735,10.0,9.0,633.6432936507937,54873,0.47826778978886486,0.9276729559748428,0.5738993710691824,0.8857142857142857,0.809,Santa Maria,RS
5103403,650877,34.0,26.0,611.6486332218506,161624,0.4309799702676718,0.9025157232704403,0.8977987421383647,0.580952380952381,0.8046,Cuiabá,MT
3556206,126373,7.0,5.0,648.9255263157895,24998,0.6514234812034514,0.9716981132075472,0.39937106918238996,0.9777777777777777,0.8018,Valinhos,SP
3520509,255748,13.0,11.0,619.0175468483816,55459,0.48879480815934573,0.9339622641509434,0.6776729559748428,0.7238095238095238,0.794,Indaiatuba,SP
3170107,337836,14.0,12.0,644.8496546863988,73942,0.3333320290778638,0.7295597484276729,0.7122641509433962,0.9555555555555556,0.7922,Uberaba,MG
3305802,165123,18.0,9.0,624.405,35604,0.3493145511256174,0.779874213836478,0.809748427672956,0.7904761904761904,0.792,Teresópolis,RJ
3554102,310739,18.0,15.0,625.4138080959522,67658,0.3427115663512651,0.7610062893081762,0.809748427672956,0.8126984126984127,0.7911,Taubaté,SP
2927408,2417678,101.0,80.0,610.3366398831264,493892,0.36883433521202,0.8176100628930818,0.9842767295597484,0.5619047619047619,0.7909,Salvador,BA
3151800,163742,11.0,7.0,649.8742857142859,32403,0.34624091647430966,0.7735849056603774,0.6194968553459119,0.9809523809523809,0.7896,Poços de Caldas,MG
5002704,898100,35.0,28.0,614.5310706638115,221316,0.3607932522975913,0.8050314465408805,0.9025157232704403,0.653968253968254,0.789,Campo Grande,MS
4115200,409657,24.0,18.0,606.1733684950773,81151,0.5038877376388149,0.9433962264150944,0.8647798742138365,0.5047619047619047,0.7882,Maringá,PR
3547809,748919,41.0,33.0,602.8538142620232,147558,0.49041518749904334,0.9371069182389937,0.9213836477987422,0.45396825396825397,0.7874,Santo André,SP
3205200,467722,22.0,19.0,610.012915303526,98515,0.4324187647061557,0.9056603773584906,0.8522012578616353,0.5555555555555556,0.7846,Vila Velha,ES
1721000,302692,15.0,13.0,620.6346153846154,82473,0.3733259037760054,0.8364779874213837,0.7468553459119497,0.7523809523809524,0.7844,Palmas,TO
2211001,866300,56.0,47.0,625.6030437251562,206747,0.29775391768214543,0.6289308176100629,0.9512578616352201,0.8158730158730159,0.7817,Teresina,PI
3303401,189939,18.0,12.0,635.47872909699,37184,0.31544201121619075,0.6729559748427673,0.809748427672956,0.8984126984126984,0.7816,Nova Friburgo,RJ
2919207,203331,11.0,9.0,638.0096556473829,47931,0.3602035095557584,0.8018867924528302,0.6194968553459119,0.9142857142857143,0.7809,Lauro de Freitas,BA
4305108,463501,12.0,9.0,622.7575644028104,96186,0.4077395156474396,0.8836477987421384,0.64937106918239,0.7714285714285715,0.7797,Caxias do Sul,RS
4202008,139155,8.0,6.0,624.6723314606741,24788,0.8359104958703304,0.9905660377358491,0.46855345911949686,0.7968253968253968,0.7758,Balneário Camboriú,SC
3131307,227731,13.0,8.0,672.581915535445,49261,0.31591637836304964,0.6761006289308176,0.6776729559748428,1.0,0.7737,Ipatinga,MG
2403251,252716,17.0,13.0,621.3585823754789,58375,0.34288869402081357,0.7672955974842768,0.789308176100629,0.7619047619047619,0.7723,Parnamirim,RN
3503208,242228,17.0,13.0,616.7453129548762,49459,0.3710352039588999,0.8270440251572327,0.789308176100629,0.6793650793650794,0.7714,Araraquara,SP
3552205,723682,30.0,24.0,608.0906328794755,159309,0.3877516342375087,0.8553459119496856,0.8883647798742138,0.526984126984127,0.7667,Sorocaba,SP
3504107,158647,14.0,12.0,613.9654601226994,35029,0.40877141704542014,0.8867924528301887,0.7122641509433962,0.6444444444444445,0.7617,Atibaia,SP
3547304,154105,10.0,6.0,615.0110822510823,39427,0.6300711343496486,0.9685534591194969,0.5738993710691824,0.6634920634920635,0.7586,Santana de Parnaíba,SP
3541406,225668,15.0,11.0,615.1691504679625,46169,0.3717660581005706,0.8301886792452831,0.7468553459119497,0.6666666666666666,0.7561,Presidente Prudente,SP
4202404,361261,10.0,7.0,618.7378282828282,73518,0.45813004795220347,0.9213836477987422,0.5738993710691824,0.7111111111111111,0.7541,Blumenau,SC
3122306,231091,10.0,9.0,659.9938675213675,46419,0.31886555635242375,0.6981132075471698,0.5738993710691824,0.9968253968253968,0.7505,Divinópolis,MG
3505708,316473,6.0,4.0,650.363137254902,77792,0.4074028221554029,0.8773584905660378,0.32861635220125784,0.9904761904761905,0.7467,Barueri,SP
4208203,264054,12.0,5.0,619.0043243243243,63282,0.3750397017437037,0.839622641509434,0.64937106918239,0.7174603174603175,0.7459,Itajaí,SC
3506003,379146,22.0,19.0,605.0594579172609,79783,0.39183905868906393,0.8616352201257862,0.8522012578616353,0.4793650793650794,0.7441,Bauru,SP
3306305,261563,14.0,11.0,626.6448138528139,52939,0.31942206475031404,0.7044025157232704,0.7122641509433962,0.8253968253968254,0.7431,Volta Redonda,RJ
3167202,227397,14.0,12.0,647.2547768281102,47516,0.2789110960715038,0.5754716981132075,0.7122641509433962,0.9746031746031746,0.7362,Sete Lagoas,MG
3530607,451505,31.0,24.0,611.6733073727933,107162,0.3243103893744055,0.7138364779874213,0.8930817610062893,0.5873015873015873,0.7296,Mogi das Cruzes,SP
4314407,325685,10.0,9.0,622.7592694063927,67146,0.36190712689585935,0.8081761006289309,0.5738993710691824,0.7746031746031746,0.7278,Pelotas,RS
3148004,159235,8.0,5.0,645.0246153846153,32721,0.33691594354906457,0.7484276729559748,0.46855345911949686,0.9587301587301588,0.7276,Patos de Minas,MG
3152501,152217,10.0,9.0,638.0022334455668,32674,0.3193934075254494,0.7012578616352201,0.5738993710691824,0.9111111111111111,0.726,Pouso Alegre,MG
4304606,347657,12.0,8.0,614.3310731244064,76555,0.369648883408005,0.8207547169811321,0.64937106918239,0.6507936507936508,0.7184,Canoas,RS
3302403,246391,16.0,10.0,612.680016025641,61943,0.33539264119317896,0.7421383647798742,0.7720125786163522,0.6253968253968254,0.7161,Macaé,RJ
3501608,237240,9.0,8.0,616.8836050364481,46982,0.40763326143394085,0.8805031446540881,0.5251572327044025,0.6825396825396826,0.7145,Americana,SP
4216602,270299,14.0,10.0,603.5721075672295,55435,0.4248903976206465,0.8962264150943396,0.7122641509433962,0.4666666666666667,0.7122,São José,SC
4104808,348051,13.0,10.0,614.1752631578947,81775,0.35448331219294527,0.7861635220125787,0.6776729559748428,0.6476190476190476,0.7121,Cascavel,PR
3502804,200124,13.0,12.0,613.0706602254428,40512,0.35812853597825745,0.7955974842767296,0.6776729559748428,0.6317460317460317,0.7111,Araçatuba,SP
3513009,274413,20.0,14.0,597.6705354058723,69131,0.3768313610978787,0.8427672955974843,0.8380503144654088,0.4,0.7085,Cotia,SP
2504009,419379,24.0,18.0,629.0337980339588,100924,0.25472916179101157,0.4748427672955975,0.8647798742138365,0.8603174603174604,0.7075,Campina Grande,PB
4209102,616317,17.0,10.0,602.3821944096787,138748,0.37745615159917684,0.8459119496855346,0.789308176100629,0.44126984126984126,0.7075,Joinville,SC
3507506,145155,11.0,9.0,619.6876353276353,31385,0.33644314786334883,0.7452830188679245,0.6194968553459119,0.7428571428571429,0.7068,Botucatu,SP
3516200,352536,17.0,13.0,625.1665414710486,78064,0.276746445304925,0.5691823899371069,0.789308176100629,0.8063492063492064,0.7064,Franca,SP
3304524,156491,19.0,15.0,612.3764203233256,37987,0.31756364255578506,0.6823899371069182,0.8238993710691824,0.6190476190476191,0.7058,Rio das Ostras,RJ
2111300,1037775,56.0,44.0,610.3146703096539,246007,0.2983065338254048,0.6320754716981132,0.9512578616352201,0.5587301587301587,0.7058,São Luís,MA
3304201,129612,9.0,8.0,625.1973194081811,28384,0.3376623180379266,0.7515723270440252,0.5251572327044025,0.8095238095238095,0.701,Resende,RJ
4204202,254785,7.0,7.0,627.3340890688258,60191,0.37021967651927423,0.8238993710691824,0.39937106918238996,0.8380952380952381,0.7008,Chapecó,SC
3143302,414240,15.0,12.0,634.6174447513812,97905,0.2653813546400318,0.5220125786163522,0.7468553459119497,0.8920634920634921,0.7005,Montes Claros,MG
3138203,104761,6.0,5.0,642.6059722222221,21447,0.3571909552159769,0.7924528301886793,0.32861635220125784,0.946031746031746,0.6994,Lavras,MG
5201108,398869,15.0,9.0,624.500027100271,96733,0.27902803550709027,0.5786163522012578,0.7468553459119497,0.7936507936507936,0.6936,Anápolis,GO
1501402,1303403,73.0,56.0,595.1068509761126,289801,0.3349808396347901,0.7358490566037735,0.9685534591194969,0.3619047619047619,0.6935,Belém,PA
3170701,136467,8.0,6.0,641.6947181964573,29604,0.31446114686331145,0.6698113207547169,0.46855345911949686,0.9396825396825397,0.6904,Varginha,MG
4302105,123151,3.0,2.0,645.3987037037036,24490,0.4273528549739644,0.89937106918239,0.1179245283018868,0.9619047619047619,0.6837,Bento Gonçalves,RS
5218805,225696,13.0,8.0,624.9428952380953,57088,0.2841638267620219,0.5974842767295597,0.6776729559748428,0.8031746031746032,0.6832,Rio Verde,GO
5003702,243367,7.0,5.0,638.197188940092,62927,0.32209490513058947,0.710691823899371,0.39937106918238996,0.9174603174603174,0.6793,Dourados,MS
3523909,168240,10.0,9.0,627.1138408304497,38350,0.3017756831976106,0.6415094339622641,0.5738993710691824,0.834920634920635,0.6792,Itu,SP
3523404,121590,11.0,8.0,605.5406178861789,25694,0.39156131289130086,0.8584905660377359,0.6194968553459119,0.4857142857142857,0.675,Itatiba,SP
2910800,616272,25.0,19.0,629.3867800453515,150536,0.22528306881196947,0.36163522012578614,0.8726415094339622,0.8634920634920635,0.6655,Feira de Santana,BA
3526902,291869,20.0,15.0,598.9683223443224,60159,0.3256886036861682,0.7169811320754716,0.8380503144654088,0.4158730158730159,0.663,Limeira,SP
3118601,621863,16.0,15.0,619.0060910087719,133532,0.26855325676949604,0.5345911949685535,0.7720125786163522,0.7206349206349206,0.6616,Contagem,MG
3301009,483540,26.0,15.0,616.9691789015769,114930,0.25449227560418086,0.4716981132075472,0.8789308176100629,0.6857142857142857,0.6581,Campos dos Goytacazes,RJ
5107909,196312,8.0,5.0,622.8992175273866,53032,0.3194469800151827,0.7075471698113207,0.46855345911949686,0.780952380952381,0.6579,Sinop,MT
3525300,133497,9.0,9.0,637.4309604519773,27600,0.2752181751359509,0.5628930817610063,0.5251572327044025,0.9047619047619048,0.6541,Jaú,SP
4314100,206215,3.0,2.0,635.0666666666667,45617,0.4010665775133676,0.8710691823899371,0.1179245283018868,0.8952380952380953,0.6524,Passo Fundo,RS
3534401,728615,36.0,27.0,579.6166804293971,164759,0.3473301794385212,0.7767295597484277,0.9072327044025157,0.2222222222222222,0.6495,Osasco,SP
3529005,237627,11.0,9.0,605.8707282282282,50865,0.3439997859296293,0.7704402515723271,0.6194968553459119,0.4984126984126984,0.6435,Marília,SP
2704302,957916,77.0,60.0,584.7387328562911,234605,0.30726527261510683,0.6509433962264151,0.9716981132075472,0.28888888888888886,0.6386,Maceió,AL
3518404,118044,8.0,6.0,612.7476543209876,24841,0.3427275258796756,0.7641509433962265,0.46855345911949686,0.6285714285714286,0.6348,Guaratinguetá,SP
4108304,285415,15.0,11.0,605.1315809523811,69837,0.31247595600208733,0.660377358490566,0.7468553459119497,0.48253968253968255,0.633,Foz do Iguaçu,PR
4218707,110088,6.0,5.0,619.5928306878308,22541,0.3524650067138779,0.7830188679245284,0.32861635220125784,0.7333333333333333,0.6318,Tubarão,SC
5211909,105729,7.0,3.0,638.9468992248062,25972,0.27971279178986014,0.5817610062893082,0.39937106918238996,0.926984126984127,0.6306,Jataí,GO
3507605,176811,11.0,11.0,608.3049751243781,37106,0.31874760657056916,0.6949685534591195,0.6194968553459119,0.5333333333333333,0.6238,Bragança Paulista,SP
4204608,214493,6.0,4.0,616.7267320261437,46870,0.35944788001803374,0.7987421383647799,0.32861635220125784,0.6761904761904762,0.6209,Criciúma,SC
3543907,201418,9.0,7.0,605.8180185758514,41935,0.3380064284749481,0.7547169811320755,0.5251572327044025,0.49523809523809526,0.608,Rio Claro,SP
3518800,1291771,78.0,58.0,582.6198347107438,309323,0.2809177441432863,0.5880503144654088,0.9748427672955975,0.26666666666666666,0.6077,Guarulhos,SP
5107602,244911,11.0,7.0,611.6739716312056,64865,0.2865441799367586,0.60062893081761,0.6194968553459119,0.5904761904761905,0.6032,Rondonópolis,MT
3300704,222161,20.0,11.0,599.1069427402863,51937,0.27342591799780624,0.559748427672956,0.8380503144654088,0.41904761904761906,0.601,Cabo Frio,RJ
1200401,364756,13.0,9.0,618.5492548076923,103032,0.2541472242051867,0.46540880503144655,0.6776729559748428,0.7047619047619048,0.6009,Rio Branco,AC
3511102,115791,9.0,8.0,612.3922325581394,23337,0.3001626480752819,0.6383647798742138,0.5251572327044025,0.6222222222222222,0.5996,Catanduva,SP
5211503,107970,8.0,4.0,617.6721126760564,25041,0.29526518627942094,0.6226415094339622,0.46855345911949686,0.6952380952380952,0.5982,Itumbiara,GO
3530706,153658,11.0,9.0,617.310289017341,32845,0.26096415321078575,0.5062893081761006,0.6194968553459119,0.692063492063492,0.596,Mogi Guaçu,SP
4307005,105705,2.0,2.0,622.9337037037037,21661,0.38716577179099815,0.8522012578616353,0.0660377358490566,0.7841269841269841,0.5959,Erechim,RS
4211900,222598,9.0,8.0,611.661220657277,52746,0.3114827637427185,0.6572327044025157,0.5251572327044025,0.5841269841269842,0.5957,Palhoça,SC
4109401,182093,15.0,10.0,608.1507011070112,46146,0.2672457346174942,0.5283018867924528,0.7468553459119497,0.5301587301587302,0.5944,Guarapuava,PR
3104007,111691,5.0,4.0,636.9344347826087,25430,0.28946394192245267,0.6132075471698113,0.25157232704402516,0.9015873015873016,0.5912,Araxá,MG
3503307,130866,7.0,5.0,613.8222365591398,27317,0.31805225259732317,0.6855345911949685,0.39937106918238996,0.6412698412698413,0.5864,Araras,SP
4119905,358371,14.0,10.0,595.1243,88908,0.3077174440260156,0.6540880503144654,0.7122641509433962,0.36507936507936506,0.5848,Ponta Grossa,PR
4208906,182660,7.0,6.0,605.5478711484593,41565,0.3547293160482133,0.789308176100629,0.39937106918238996,0.4888888888888889,0.5822,Jaraguá do Sul,SC
3534708,103970,8.0,7.0,611.8305612244899,22838,0.3041190349700639,0.6477987421383647,0.46855345911949686,0.5968253968253968,0.5787,Ourinhos,SP
2408003,264577,17.0,14.0,605.6259544879899,61785,0.2575183385542818,0.4811320754716981,0.789308176100629,0.49206349206349204,0.5769,Mossoró,RN
4209300,164981,6.0,5.0,612.3704918032787,38055,0.3336498349856003,0.7327044025157232,0.32861635220125784,0.6158730158730159,0.5764,Lages,SC
3536505,110537,6.0,5.0,591.5047395833333,25646,0.49292963888524477,0.940251572327044,0.32861635220125784,0.33650793650793653,0.5756,Paulínia,SP
1302603,2063689,57.0,40.0,600.2725170068027,585839,0.23657223247128178,0.39622641509433965,0.9559748427672956,0.4253968253968254,0.5729,Manaus,AM
3131703,113343,5.0,5.0,638.5347619047619,24716,0.27025639777749566,0.550314465408805,0.25157232704402516,0.9238095238095239,0.5727,Itabira,MG
3105608,125317,4.0,4.0,637.9167741935483,24712,0.289808071933013,0.6163522012578616,0.17767295597484276,0.9079365079365079,0.5722,Barbacena,MG
3504008,101409,8.0,7.0,604.5637664783427,21146,0.3263646468486767,0.720125786163522,0.46855345911949686,0.473015873015873,0.5705,Assis,SP
5205109,114427,10.0,7.0,598.5292547425474,26491,0.31845745992660224,0.6918238993710691,0.5738993710691824,0.4031746031746032,0.5699,Catalão,GO
3118304,131621,5.0,4.0,649.9804081632653,27985,0.25977407523715096,0.4968553459119497,0.25157232704402516,0.9841269841269841,0.5695,Conselheiro Lafaiete,MG
4127700,150470,5.0,2.0,614.7120454545455,34356,0.33506610267025605,0.7389937106918238,0.25157232704402516,0.6571428571428571,0.5682,Toledo,PR
3524402,240275,15.0,12.0,586.1987167449138,54011,0.29987397041635944,0.6352201257861635,0.7468553459119497,0.29523809523809524,0.5667,Jacareí,SP
3127701,257171,4.0,3.0,639.9894999999999,56119,0.276188540010339,0.5660377358490566,0.17767295597484276,0.9301587301587302,0.5588,Governador Valadares,MG
2611101,386791,13.0,10.0,618.6468524970963,110307,0.22356491021573394,0.3553459119496855,0.6776729559748428,0.707936507936508,0.5578,Petrolina,PE
3545209,134319,6.0,4.0,615.4985093167702,30406,0.30234212785887127,0.6446540880503144,0.32861635220125784,0.6698412698412698,0.5574,Salto,SP
5107958,106434,5.0,4.0,632.6919607843137,27901,0.2694768531748281,0.5408805031446541,0.25157232704402516,0.8825396825396825,0.5566,Tangará da Serra,MT
4128104,117095,9.0,8.0,602.1662878787879,26597,0.31440319601115907,0.6666666666666666,0.5251572327044025,0.4380952380952381,0.5556,Umuarama,PR
2933307,370879,15.0,13.0,610.8670550724638,91170,0.23679507279100007,0.39937106918238996,0.7468553459119497,0.5714285714285714,0.5552,Vitória da Conquista,BA
