cidade;UF;posicao_local;total_escolas_cidade;NO_ENTIDADE;codigo_escola;score_destaque;enem_media_geral;QT_MAT_MED;eh_parceiro_poliedro;eh_unidade_propria;melhor_posicao_parceiro_na_cidade
Curitiba;PR;2;64;BOM JESUS DIVINA PROVIDENCIA COL EDUC INF ENS FUND E MEDIO;41352866;0.8674;669.1;246.0;False;False;1
Curitiba;PR;3;64;COLEGIO MARISTA ANJO DA GUARDA EI EF EM;41127242;0.8629;676.8;236.0;False;False;1
Curitiba;PR;4;64;COLEGIO MARISTA SANTA MARIA EI EF EM;41133153;0.8589;656.3;711.0;False;False;1
Curitiba;PR;5;64;MARTINUS CENTRO - COL EDUC INF ENS FUND ENS MEDIO E PROF;41130987;0.8545;664.2;75.0;False;False;1
Curitiba;PR;6;64;BOM JESUS SEMINARIO;41131789;0.843;653.1;253.0;False;False;1
Curitiba;PR;7;64;COLEGIO BOM JESUS NOSSA SENHORA DE LOURDES ED INF ENS FUND E MEDIO;41131673;0.8299;649.5;695.0;False;False;1
Curitiba;PR;8;64;COLEGIO PASSIONISTA NOSSA SENHORA MENINA;41131703;0.8142;650.8;93.0;True;False;1
Curitiba;PR;9;64;COLEGIO BOM JESUS ED INFANTIL ENSINO FUNDAMENTAL E MEDIO SEDE;41127722;0.799;646.8;767.0;False;False;1
Curitiba;PR;10;64;COLEGIO NOSSA SENHORA MEDIANEIRA;41131690;0.7867;639.3;440.0;False;False;1
Divinópolis;MG;1;8;ESCOLA TECNICA DE DIVINOPOLIS-INTEGRAL;31041181;0.9142;684.0;214.0;False;False;4
Divinópolis;MG;2;8;COLEGIO ROBERTO CARNEIRO;31041262;0.8888;667.8;293.0;False;False;4
Divinópolis;MG;3;8;CENTRO EDUCACIONAL DIVINOPOLIS-ANGLO;31291986;0.8848;666.2;51.0;False;False;4
Divinópolis;MG;4;8;INST N SRA DO SAGRADO CORACAO;31041190;0.8152;664.5;78.0;True;False;4
Divinópolis;MG;5;8;CECRI C EDUC CRIATIVO;31281921;0.7649;637.7;64.0;False;False;4
Divinópolis;MG;6;8;SOPHIS EDUCACIONAL;31371726;0.7425;658.4;94.0;False;False;4
Divinópolis;MG;7;8;APOGEU SISTEMA DE ENSINO;31374644;0.6167;610.6;43.0;False;False;4
Divinópolis;MG;8;8;COLEGIO MAGNIFICAT;31376051;0.5834;610.9;57.0;False;False;4
Florianópolis;SC;1;29;COLEGIO AZ FLORIPA;42160383;0.7923;710.6;123.0;False;False;11
Florianópolis;SC;2;29;COLEGIO DA LAGOA;42133114;0.7853;643.1;61.0;False;False;11
Florianópolis;SC;3;29;DUAL INTERNATIONAL SCHOOL;42163021;0.7845;657.0;53.0;False;False;11
Florianópolis;SC;4;29;ASAV - COLEGIO CATARINENSE;42000670;0.78;637.6;514.0;False;False;11
Florianópolis;SC;5;29;COLEGIO BOM JESUS CORACAO DE JESUS;42000238;0.7749;640.7;135.0;False;False;11
Florianópolis;SC;6;29;CURSO E COLEGIO CRIATIVO;42160650;0.7742;662.4;246.0;False;False;11
Florianópolis;SC;7;29;GAIA CURSO E COLEGIO;42160081;0.7729;661.7;484.0;False;False;11
Florianópolis;SC;8;29;COLEGIO ENERGIA;42109230;0.7469;647.8;283.0;False;False;11
Florianópolis;SC;9;29;COLEGIO VILA OLIMPIA;42103894;0.7323;640.4;70.0;False;False;11
Florianópolis;SC;10;29;COC COLEGIO OSVALDO CARVALHO EIRELI EPP;42113083;0.7297;661.8;738.0;False;False;11
Florianópolis;SC;11;29;ESCOLA AUTONOMIA;42112796;0.7189;645.4;153.0;True;False;11
Franca;SP;1;13;NOVO COLEGIO SISTEMA DE ENSINO DE FRANCA LTDA;35258143;0.7357;678.9;241.0;True;False;1
Franca;SP;2;13;CEI - COLEGIO DE EDUCACAO INTEGRAL;35172625;0.7064;649.1;64.0;False;False;1
Franca;SP;3;13;ALTO PADRAO FRANCANO INSTITUTO ENSINO;35114510;0.6878;644.0;157.0;False;False;1
Franca;SP;4;13;PESTALOZZI ESCOLA UNIDADE I;35114467;0.6848;637.7;238.0;False;False;1
Franca;SP;5;13;TOULOUSE LAUTREC ESCOLA EDUC INFANTIL ENS FUNDAMENTAL MEDIO;35139373;0.65;641.2;92.0;False;False;1
Franca;SP;6;13;PESSOA COLEGIO;35802244;0.6405;638.1;190.0;False;False;1
Franca;SP;7;13;SAMARITANO INSTITUTO DE ENSINO;35164926;0.6405;614.9;172.0;False;False;1
Franca;SP;8;13;MONTEIRO LOBATO COLEGIO FRANCA UNIDADE II;35806572;0.6304;635.4;65.0;False;False;1
Franca;SP;9;13;JESUS MARIA JOSE COLEGIO;35114479;0.6026;619.6;69.0;False;False;1
Franca;SP;10;13;COLEGIO GANDOLFI;35581781;0.5606;619.9;104.0;False;False;1
Goiânia;GO;1;64;COLEGIO ARENA;52103137;0.921;695.4;1403.0;True;False;1
Goiânia;GO;2;64;COLEGIO OLIMPO GOIANIA;52096785;0.897;712.3;215.0;False;False;1
Goiânia;GO;3;64;COLEGIO SANTO AGOSTINHO;52033848;0.8876;682.9;276.0;False;False;1
