codigo_municipio;populacao_total;qtd_escolas_elegiveis;qtd_escolas_com_enem;enem_media_praca;populacao_0_17;score_socioeconomico;percentil_socioeconomico;percentil_volume_escolas;percentil_qualidade_enem;score_priorizacao;nome_municipio_ibge;uf;rank_cidade;top10
3170107;337836;14,0;12,0;644,8496546863988;73942;0,3333320290778638;0,7295597484276729;0,7122641509433962;0,9555555555555556;0,7922;Uberaba;MG;35;False
3305802;165123;18,0;9,0;624,405;35604;0,3493145511256174;0,779874213836478;0,809748427672956;0,7904761904761904;0,792;Teresópolis;RJ;36;False
3554102;310739;18,0;15,0;625,4138080959522;67658;0,3427115663512651;0,7610062893081762;0,809748427672956;0,8126984126984127;0,7911;Taubaté;SP;37;False
2927408;2417678;101,0;80,0;610,3366398831264;493892;0,36883433521202;0,8176100628930818;0,9842767295597484;0,5619047619047619;0,7909;Salvador;BA;38;False
3151800;163742;11,0;7,0;649,8742857142859;32403;0,3462409164743096;0,7735849056603774;0,6194968553459119;0,9809523809523808;0,7896;Poços de Caldas;MG;39;False
5002704;898100;35,0;28,0;614,5310706638115;221316;0,3607932522975913;0,8050314465408805;0,9025157232704404;0,653968253968254;0,789;Campo Grande;MS;40;False
4115200;409657;24,0;18,0;606,1733684950773;81151;0,5038877376388149;0,9433962264150944;0,8647798742138365;0,5047619047619047;0,7882;Maringá;PR;41;False
3547809;748919;41,0;33,0;602,8538142620232;147558;0,4904151874990433;0,9371069182389936;0,9213836477987422;0,4539682539682539;0,7874;Santo André;SP;42;False
3205200;467722;22,0;19,0;610,012915303526;98515;0,4324187647061557;0,9056603773584906;0,8522012578616353;0,5555555555555556;0,7846;Vila Velha;ES;43;False
1721000;302692;15,0;13,0;620,6346153846154;82473;0,3733259037760054;0,8364779874213837;0,7468553459119497;0,7523809523809524;0,7844;Palmas;TO;44;False
2211001;866300;56,0;47,0;625,6030437251562;206747;0,2977539176821454;0,6289308176100629;0,95125786163522;0,8158730158730159;0,7817;Teresina;PI;45;False
3303401;189939;18,0;12,0;635,47872909699;37184;0,3154420112161907;0,6729559748427673;0,809748427672956;0,8984126984126984;0,7816;Nova Friburgo;RJ;46;False
2919207;203331;11,0;9,0;638,0096556473829;47931;0,3602035095557584;0,8018867924528302;0,6194968553459119;0,9142857142857144;0,7809;Lauro de Freitas;BA;47;False
4305108;463501;12,0;9,0;622,7575644028104;96186;0,4077395156474396;0,8836477987421384;0,64937106918239;0,7714285714285715;0,7797;Caxias do Sul;RS;48;False
4202008;139155;8,0;6,0;624,6723314606741;24788;0,8359104958703304;0,9905660377358492;0,4685534591194968;0,7968253968253968;0,7758;Balneário Camboriú;SC;49;False
3131307;227731;13,0;8,0;672,581915535445;49261;0,3159163783630496;0,6761006289308176;0,6776729559748428;1,0;0,7737;Ipatinga;MG;50;False
2403251;252716;17,0;13,0;621,3585823754789;58375;0,3428886940208135;0,7672955974842768;0,789308176100629;0,7619047619047619;0,7723;Parnamirim;RN;51;False
3503208;242228;17,0;13,0;616,7453129548762;49459;0,3710352039588999;0,8270440251572327;0,789308176100629;0,6793650793650794;0,7714;Araraquara;SP;52;False
3552205;723682;30,0;24,0;608,0906328794755;159309;0,3877516342375087;0,8553459119496856;0,8883647798742138;0,526984126984127;0,7667;Sorocaba;SP;53;False
3504107;158647;14,0;12,0;613,9654601226994;35029;0,4087714170454201;0,8867924528301887;0,7122641509433962;0,6444444444444445;0,7617;Atibaia;SP;54;False
3547304;154105;10,0;6,0;615,0110822510823;39427;0,6300711343496486;0,9685534591194968;0,5738993710691824;0,6634920634920635;0,7586;Santana de Parnaíba;SP;55;False
3541406;225668;15,0;11,0;615,1691504679625;46169;0,3717660581005706;0,8301886792452831;0,7468553459119497;0,6666666666666666;0,7561;Presidente Prudente;SP;56;False
4202404;361261;10,0;7,0;618,7378282828282;73518;0,4581300479522034;0,9213836477987422;0,5738993710691824;0,7111111111111111;0,7541;Blumenau;SC;57;False
3122306;231091;10,0;9,0;659,9938675213675;46419;0,3188655563524237;0,6981132075471698;0,5738993710691824;0,9968253968253968;0,7505;Divinópolis;MG;58;False
3505708;316473;6,0;4,0;650,363137254902;77792;0,4074028221554029;0,8773584905660378;0,3286163522012578;0,9904761904761904;0,7467;Barueri;SP;59;False
4208203;264054;12,0;5,0;619,0043243243243;63282;0,3750397017437037;0,839622641509434;0,64937106918239;0,7174603174603175;0,7459;Itajaí;SC;60;False
3506003;379146;22,0;19,0;605,0594579172609;79783;0,3918390586890639;0,8616352201257862;0,8522012578616353;0,4793650793650794;0,7441;Bauru;SP;61;False
3306305;261563;14,0;11,0;626,6448138528139;52939;0,319422064750314;0,7044025157232704;0,7122641509433962;0,8253968253968254;0,7431;Volta Redonda;RJ;62;False
3167202;227397;14,0;12,0;647,2547768281102;47516;0,2789110960715038;0,5754716981132075;0,7122641509433962;0,9746031746031746;0,7362;Sete Lagoas;MG;63;False
3530607;451505;31,0;24,0;611,6733073727933;107162;0,3243103893744055;0,7138364779874213;0,8930817610062893;0,5873015873015873;0,7296;Mogi das Cruzes;SP;64;False
4314407;325685;10,0;9,0;622,7592694063927;67146;0,3619071268958593;0,8081761006289309;0,5738993710691824;0,7746031746031746;0,7278;Pelotas;RS;65;False
3148004;159235;8,0;5,0;645,0246153846153;32721;0,3369159435490645;0,7484276729559748;0,4685534591194968;0,9587301587301588;0,7276;Patos de Minas;MG;66;False
3152501;152217;10,0;9,0;638,0022334455668;32674;0,3193934075254494;0,7012578616352201;0,5738993710691824;0,9111111111111112;0,726;Pouso Alegre;MG;67;False
4304606;347657;12,0;8,0;614,3310731244064;76555;0,369648883408005;0,8207547169811321;0,64937106918239;0,6507936507936508;0,7184;Canoas;RS;68;False
3302403;246391;16,0;10,0;612,680016025641;61943;0,3353926411931789;0,7421383647798742;0,7720125786163522;0,6253968253968254;0,7161;Macaé;RJ;69;False
3501608;237240;9,0;8,0;616,8836050364481;46982;0,4076332614339408;0,8805031446540881;0,5251572327044025;0,6825396825396826;0,7145;Americana;SP;70;False
4216602;270299;14,0;10,0;603,5721075672295;55435;0,4248903976206465;0,8962264150943396;0,7122641509433962;0,4666666666666667;0,7122;São José;SC;71;False
4104808;348051;13,0;10,0;614,1752631578947;81775;0,3544833121929452;0,7861635220125787;0,6776729559748428;0,6476190476190476;0,7121;Cascavel;PR;72;False
3502804;200124;13,0;12,0;613,0706602254428;40512;0,3581285359782574;0,7955974842767296;0,6776729559748428;0,6317460317460317;0,7111;Araçatuba;SP;73;False
3513009;274413;20,0;14,0;597,6705354058723;69131;0,3768313610978787;0,8427672955974843;0,8380503144654088;0,4;0,7085;Cotia;SP;74;False
4209102;616317;17,0;10,0;602,3821944096787;138748;0,3774561515991768;0,8459119496855346;0,789308176100629;0,4412698412698412;0,7075;Joinville;SC;75;False
2504009;419379;24,0;18,0;629,0337980339588;100924;0,2547291617910115;0,4748427672955975;0,8647798742138365;0,8603174603174604;0,7075;Campina Grande;PB;76;False
3507506;145155;11,0;9,0;619,6876353276353;31385;0,3364431478633488;0,7452830188679245;0,6194968553459119;0,7428571428571429;0,7068;Botucatu;SP;77;False
3516200;352536;17,0;13,0;625,1665414710486;78064;0,276746445304925;0,5691823899371069;0,789308176100629;0,8063492063492064;0,7064;Franca;SP;78;False
2111300;1037775;56,0;44,0;610,3146703096539;246007;0,2983065338254048;0,6320754716981132;0,95125786163522;0,5587301587301587;0,7058;São Luís;MA;79;False
