codigo_escola;NO_ENTIDADE;cidade
41407423;COLEGIO BERTONI - ENSINO FUNDAMENTAL E MEDIO;Foz do Iguaçu
35192399;COLEGIO ACADEMIA;Jaú
33161429;COLEGIO E CURSO PENSI;Niterói
33202109;MART EDUCACAO LTDA;Rio de Janeiro
31321079;COL CIDADE DE PATOS DE MINAS DE ENSINO FUNDAMENTAL E MEDIO;Patos de Minas
25115260;SECULO COLEGIO E CURSO;João Pessoa
43215572;COLEGIO FLEMING PELOTAS;Pelotas
35107542;ESCOLA BILINGUE PUERI DOMUS UNIDADE I VERBO DIVINO;São Paulo
35258143;NOVO COLEGIO SISTEMA DE ENSINO DE FRANCA LTDA;Franca
35125726;PERSPECTIVA ESCOLA;São Paulo
29427924;ESCOLA MONTEIRO LOBATO -UNIDADE 2;Luís Eduardo Magalhães
43069002;COLEGIO DOM FELICIANO;Gravataí
31371777;COLEGIO GABARITO;Araxá
32074182;CENTRO DE ENSINO COLATINENSE DARWIN;Colatina
35113207;DIVINO SALVADOR COLEGIO;Jundiaí
35143352;CIDADE DE ITU COLEGIO;Itu
33041130;COLEGIO BOM JESUS SAO JOSE;Petrópolis
25130676;CENTRO DE ENSINO E EDUCACAO DA BORBOREMA LDTA;Campina Grande
35165943;ATLANTICO DE ENSINO INSTITUTO;Piracicaba
35141264;DOMINUS VIVENDI COLEGIO EIFM;São Paulo
35439368;COLEGIO PROGRESSO BILINGUE;Indaiatuba
41386329;ALDEIA DO SOL CEI EF M;Guarapuava
35100473;SANTA TERESINHA COLEGIO SALESIANO;São Paulo
52090388;CENTRO EDUCACIONAL IMPACTO LTDA- COLEGIO EXITO;Jataí
31006386;COLEGUIUM - UNIDADE JARAGUA;Belo Horizonte
35113724;CIDADE DE PIRACICABA COLEGIO;Piracicaba
41138430;BOM JESUS SAO JOSE DOS PINHAIS COL EDUC INFANTIL ENSINO FUNDAMENTAL E MEDIO;São José dos Pinhais
31354848;COLEGIO LOSANGO DE LAVRAS;Lavras
51027909;COLEGIO LA SALLE ATEC;Tangará da Serra
31368342;COLEGUIUM - UNIDADE INTERNACIONAL BURITIS;Belo Horizonte
53005457;CENTRO DE ENSINO SANTA RITA DE CASSIA;Brasília
33199558;COLEGIO CENTRO DE ESTUDOS;Campos dos Goytacazes
29182433;COLEGIO NOSSA SENHORA DA CONCEICAO;Salvador
