codigo_escola;NO_ENTIDADE;cidade
31327026;CENTRO EDUCACIONAL RENOVACAO;Pouso Alegre
35114078;KOELLE COLEGIO;Rio Claro
21199090;COLEGIO EDUCALLIS;São Luís
27218244;COLEGIO SANTA URSULA LTDA;Maceió
41131673;COLEGIO BOM JESUS NOSSA SENHORA DE LOURDES ED INF ENS FUND E MEDIO;Curitiba
31374555;COLEGUIUM - INTERNACIONAL CIDADE NOVA;Belo Horizonte
33156913;COOPERATIVA DE TRABALHO EDUCACIONAL CESAR ALMEIDA;Angra dos Reis
35150022;MONTEIRO LOBATO COLEGIO;Mogi Guaçu
35504324;ESCOLA SEB UNIDADE DE RIO PRETO;São José do Rio Preto
33154007;COLEGIO CAROLINNA RUSSO LTDA;Rio de Janeiro
31351725;COLEGUIUM - UNIDADE OURO PRETO INTEGRAL;Belo Horizonte
33064032;ESCOLA ALEMA CORCOVADO - EXPERIMENTAL;Rio de Janeiro
33124418;COLEGIO QI - TIJUCA;Rio de Janeiro
21095752;ESCOLA SANTA TERESINHA;Imperatriz
23269316;MASTER SUL COLEGIO;Fortaleza
42020530;ASSOCIACAO EDUCACIONAL LUTERANA BOM JESUS IELUSC;Joinville
31005614;COLEGIO SANTA MARIA MINAS - UNIDADE CORACAO EUCARISTICO;Belo Horizonte
27224821;ALTERNATIVA ESCOLA DE EDUCACAO BASICA;Arapiraca
31062235;INST DE EDUC E ENS POUSO ALEGRE;Pouso Alegre
24057061;COLEGIO EXECUTIVO LTDA;Natal
31223883;COLEGIO ATENAS PASSOS;Passos
35802578;COLEGIO ARBOS - UNIDADE SAO BERNARDO DO CAMPO;São Bernardo do Campo
31229865;C EDUC SAO TOMAS DE AQUINO;Nova Lima
33183139;INOVAR VEIGA DE ALMEIDA;Rio de Janeiro
28037723;NUCLEO AVANCADO DE ENSINO G8 LTDA;Aracaju
42028990;COLEGIO BOM JESUS DIOCESANO;Lages
31123536;COLEGIO NOSSA SENHORA DAS GRACAS;Patos de Minas
26193957;COLEGIO GGE;Petrolina
31305235;COL POTENCIA;Conselheiro Lafaiete
21500002;COLEGIO DOM BOSCO BALSAS;Balsas
22310762;CEV COLEGIO;Teresina
52059383;COLEGIO ZENITE;Itumbiara
25120298;CENTRO PESSOENSE DE EDUCACAO - COLEGIO MOTIVA;João Pessoa
53015010;ESCOLA CANADENSE DE BRASILIA;Brasília
35142612;SINGULAR COLEGIO;São Bernardo do Campo
35104711;ESCOLA ALEF PERETZ;São Paulo
31378496;COLEGIO GENOMA II;Teófilo Otoni
35004304;ESCOLA CONCEPT;Ribeirão Preto
24083550;CENTRO DE EDUCACAO INTEGRADA ZONA SUL LTDA;Parnamirim
33063710;COLEGIO SANTO ANTONIO MARIA ZACCARIA;Rio de Janeiro
35170331;SAO CARLOS INSTITUTO EDUCACAO DE ENSINO FUNDAMENTAL E MEDIO;São Carlos
22144412;CENTRO EDUCACIONAL CONTEXTO;Parnaíba
35430146;MAPLE BEAR CANADIAN SCHOOL MOGI DAS CRUZES;Mogi das Cruzes
29093643;COLEGIO SANTO ANTONIO;Feira de Santana
52097676;COLEGIO SIMBIOS;Goiânia
35144034;GIBRAN KHALIL GIBRAN COLEGIO;Taboão da Serra
43216870;COLEGIO TOTEM SANTA MARIA;Santa Maria
52109585;COLEGIO COPE NEXUS FILIAL;Anápolis
35112896;DOM BARRETO COLEGIO;Campinas
26190451;COLEGIO GGE;Recife
35140065;INSTITUTO EDUCACIONAL IGUATEMY ESCOLA DE EI EF E EM;São José dos Campos
13032020;LAVINIENSE ENSINO INTEGRADO E CE PINGO DE GENTE;Manaus
31382655;COLEGIO GABARITO - UNIDADE II;Uberaba
31105902;COL N SRA DAS DORES;Itabira
31290157;COL CHROMOS PAMPULHA;Belo Horizonte
53012941;COLEGIO CIMAN;Brasília
41127722;COLEGIO BOM JESUS ED INFANTIL ENSINO FUNDAMENTAL E MEDIO SEDE;Curitiba
33111642;COLEGIO SANTA MONICA - TAQUARA;Rio de Janeiro
22141251;INSTITUTO EDUCACIONAL SAO JOSE UNIDADE MOCAMBINHO;Teresina
31377759;COLEGUIUM - UNIDADE NOVA SUICA;Belo Horizonte
35286527;PROGRESSAO COLEGIO;Pindamonhangaba
27227189;COLEGIO DE EDUCACAO BASICA SANTA ESMERALDA;Arapiraca
33149780;SISTEMA ELITE DE ENSINO;Rio de Janeiro
22143459;CEV- COLEGIO UNIDADE 04;Teresina
31358428;COLEGUIUM - UNIDADE ALIPIO DE MELO;Belo Horizonte
31220094;COL NACIONAL;Uberlândia
33175195;REDE AZ COLEGIO E CURSO UNIDADE LICENCIADA ILHA;Rio de Janeiro
29359287;COLEGIO PIRAMIDE;Lauro de Freitas
50032100;COLEGIO BIONATUS II;Campo Grande
23025646;COLEGIO FARIAS BRITO SOBRALENSE;Sobral
43109330;SISTEMA EDUCACIONAL BOA VISTA;Porto Alegre
29488591;COLEGIO ANCHIETA;Salvador
31004278;ESCOLA SANTO TOMAS DE AQUINO;Belo Horizonte
33195340;PB COLEGIO E CURSO;Rio de Janeiro
21010064;UPAON EDUCACIONAL LTDA;São Luís
