codigo_escola,NO_ENTIDADE,codigo_municipio,rank_municipio,n_escolas_confiaveis_municipio,segmento_comercial,enem_media_geral,qtd_participantes_enem,indice_infra,QT_MAT_MED,score_destaque,nome_municipio_ibge,uf,CO_CEP,DS_ENDERECO,NU_ENDERECO,bairro,logradouro_viacep,erro_geocodificacao
53032012,COL BARAO DO RIO BRANCO,5300108,22,101,Outras posições,619.9488888888889,15.0,5.0,61.0,0.766,Brasília,DF,73255904,"RODOVIA DF-250, KM 2,5",03,Região dos Lagos (Sobradinho),Rodovia DF-250,
52091295,COLEGIO EXPOVEST,5208707,13,63,Outras posições,619.767288888889,75.0,5.0,224.0,0.765,Goiânia,GO,74333150,AMELIO,110,Jardim Planalto,Rua Amélio,
52103161,COLEGIO INTEGRADO UNIDADE AREIAO,5208707,14,63,Outras posições,618.6409523809524,42.0,5.0,173.0,0.7609,Goiânia,GO,74180180,1139,323,Setor Marista,Rua 1139,
43105025,COLEGIO NOSSA SRA DA GLORIA,4314902,16,45,Outras posições,618.2495555555556,30.0,5.0,138.0,0.7589,Porto Alegre,RS,91710000,PROFESSOR OSCAR PEREIRA,3052,Glória,Avenida Professor Oscar Pereira,
31362417,COLEGIO COPBH - UNIDADE II,3106200,25,88,Outras posições,618.0028571428572,14.0,5.0,82.0,0.7579,Belo Horizonte,MG,31340000,SENA MADUREIRA,455,Ouro Preto,Rua Sena Madureira,
53007190,COL LA SALLE,5300108,23,101,Outras posições,616.924347826087,46.0,5.0,174.0,0.7547,Brasília,DF,71710575,CENTRAL AREA ESPECIAL 11,11,Núcleo Bandeirante,Avenida Central Área Especial 11,
43109152,COLEGIO MURIALDO,4314902,17,45,Outras posições,616.9207407407407,45.0,5.0,161.0,0.7545,Porto Alegre,RS,91520480,VIDAL DE NEGREIROS,417,Vila São José,Rua Vidal de Negreiros,
35132925,ESCOLA SEB UNIDADE LAFAIETE,3543402,8,34,Outras posições,644.9163018867924,265.0,4.0,292.0,0.7532,Ribeirão Preto,SP,14015080,LAFAIETE,261,Centro,Rua Lafaiete,
43219535,COLEGIO ANGLO PORTO ALEGRE,4314902,18,45,Outras posições,616.3385714285714,14.0,5.0,79.0,0.7525,Porto Alegre,RS,90480003,AVENIDA CARLOS GOMES,465,Auxiliadora,Avenida Carlos Gomes,
52068986,COLEGIO WR,5208707,15,63,Outras posições,717.7649751243781,201.0,3.0,823.0,0.749,Goiânia,GO,74215040,T 28,1813,Setor Bueno,Rua T 28,
26127580,COLEGIO CONHECER,2611606,14,70,Outras posições,614.6366666666667,12.0,5.0,56.0,0.7464,Recife,PE,50740010,ZEZITO COSTA REGO,130,Várzea,Rua Zezito Costa Rego,
32083882,ESCOLA MADAN,3205309,10,16,Outras posições,711.2780769230769,52.0,3.0,184.0,0.7459,Vitória,ES,29055290,FORTUNATO RAMOS,426,Praia do Canto,Rua Fortunato Ramos,
26187353,COLEGIO NUCLEO - BOA VIAGEM,2611606,15,70,Outras posições,710.4405555555555,72.0,3.0,266.0,0.7455,Recife,PE,51020030,ENGENHEIRO DOMINGOS FERREIRA,2142,Boa Viagem,Avenida Engenheiro Domingos Ferreira,
31379816,ESCOLA SESI BH HORTO,3106200,26,88,Outras posições,641.8383870967742,93.0,4.0,241.0,0.7427,Belo Horizonte,MG,31035295,SANTO AGOSTINHO,1717,Horto Florestal,Rua Santo Agostinho,
26163039,COLEGIO GGE,2611606,16,70,Outras posições,702.6117482517482,143.0,3.0,500.0,0.742,Recife,PE,51150430,JOSE DA SILVA LUCENA,20,Imbiribeira,Rua José da Silva Lucena,
31379832,COLEGIO DONA CLARA - UNIDADE 2,3106200,27,88,Outras posições,641.1690322580646,62.0,4.0,194.0,0.7397,Belo Horizonte,MG,31260000,SEBASTIAO DE BRITO,780,Dona Clara,Avenida Sebastião de Brito,
52101363,COPE - COLEGIO PREPARAENEM,5208707,16,63,Outras posições,693.3356882255389,201.0,3.0,682.0,0.7359,Goiânia,GO,74150240,36,149,Setor Marista,Rua 36,
31004499,COLEGIO NOSSA SENHORA DO MONTE CALVARIO,3106200,28,88,Outras posições,612.0717647058824,17.0,5.0,57.0,0.7347,Belo Horizonte,MG,30110064,DO CONTORNO,9384,Barro Preto,Avenida do Contorno,
33179999,LME 542 EMPREENDIMENTOS EDUCACIONAIS SS LTDA,3303302,7,38,Outras posições,692.2862222222222,45.0,3.0,169.0,0.7347,Niterói,RJ,24346160,REPORTER CEZAR DONADEL,26,Itaipu,Rua Repórter Cézar Donadel,
35175572,POLIEDRO COLEGIO,3549904,6,22,Outras posições,689.8837242128122,307.0,3.0,1009.0,0.7334,São José dos Campos,SP,12242500,MARIA DEMETRIA KFURI IRMA,700,Jardim Esplanada,Rua Irmã Maria Demetria Kfuri,
53001400,COL SANTA DOROTEIA,5300108,24,101,Outras posições,611.6154545454546,22.0,5.0,86.0,0.7333,Brasília,DF,70790110,SGAN 911,,Asa Norte,Quadra SGAN 911,
43172423,COLEGIO LEONARDO DA VINCI-ALFA,4314902,19,45,Outras posições,688.7002051282052,65.0,3.0,218.0,0.7324,Porto Alegre,RS,90420060,CORONEL JOAQUIM PEDRO SALGADO,80,Rio Branco,Rua Coronel Joaquim Pedro Salgado,
53016726,UNICO EDUCACIONAL,5300108,25,101,Outras posições,687.862625,320.0,3.0,885.0,0.7314,Brasília,DF,70200660,SGAS 606,,Asa Sul,Quadra SGAS 606,
31005134,COLEGIO SAO PAULO,3106200,29,88,Outras posições,610.6386666666666,15.0,5.0,100.0,0.729,Belo Horizonte,MG,30380060,EDUARDO PORTO,488,Cidade Jardim,Rua Eduardo Porto,
31369977,COL CHROMOS BARREIRO,3106200,30,88,Outras posições,637.5576119402986,67.0,4.0,412.0,0.727,Belo Horizonte,MG,30640490,BOAVENTURA COSTA,463,Barreiro,Rua Boaventura Costa,
31006629,CENTRO EDUCACIONAL MINEIRO,3106200,31,88,Outras posições,609.851282051282,39.0,5.0,158.0,0.7253,Belo Horizonte,MG,30881310,EUFRATES,4020,São Salvador,Rua Eufrates,
26121484,COLEGIO SALESIANO SAGRADO CORACAO,2611606,17,70,Outras posições,609.8295238095238,63.0,5.0,196.0,0.7251,Recife,PE,50070070,DOM BOSCO,551,Boa Vista,Rua Dom Bosco,
31314749,COLEGIO ALUMNUS,3106200,32,88,Outras posições,680.132,10.0,3.0,48.0,0.7242,Belo Horizonte,MG,31910520,JOAQUIM JOSE DINIZ,519,Fernão Dias,Avenida Joaquim José Diniz,
53038002,C DE ENS MEDIO DELTA,5300108,26,101,Outras posições,636.4544000000001,50.0,4.0,193.0,0.7228,Brasília,DF,73350106,QUADRA 1 CONJUNTO F,21,Setor Residencial Leste (Planaltina),Quadra 1 Conjunto F,
33170096,INSTITUTO MAIA VINAGRE FUNDAMENTAL,3303302,8,38,Outras posições,609.0226086956521,23.0,5.0,64.0,0.7215,Niterói,RJ,24240004,NEWTON PRADO,65,Santa Rosa,Rua Newton Prado,
32039999,CE AGOSTINIANO,3205309,11,16,Outras posições,608.5370370370371,27.0,5.0,80.0,0.7197,Vitória,ES,29010570,THIERS VELLOSO,125,Centro,Rua Thiers Velloso,
26190451,COLEGIO GGE,2611606,18,70,Outras posições,676.2941158059468,213.0,3.0,586.0,0.719,Recife,PE,52060145,DESEMBARGADOR GOIS CAVALCANTE,460,Parnamirim,Rua Desembargador Góis Cavalcante,
31005185,ESCOLA SESI EMILIA MASSANTI,3106200,33,88,Outras posições,635.2032558139535,43.0,4.0,129.0,0.7189,Belo Horizonte,MG,30518300,ALBERT SCHARLE,05,Madre Gertrudes,Rua Albert Scharle,
26152630,GGE VESTIBULARES,2611606,19,70,Outras posições,675.9902040816326,49.0,3.0,259.0,0.7187,Recife,PE,50720001,BENFICA,286/314,Madalena,Rua Benfica,
31220353,ESCOLA SESI BELO HORIZONTE SAO JOAO BATISTA,3106200,34,88,Outras posições,635.0115789473684,19.0,4.0,109.0,0.7178,Belo Horizonte,MG,31515215,MOACYR FROES,83,São João Batista (Venda Nova),Rua Moacyr Froes,
52097676,COLEGIO SIMBIOS,5208707,17,63,Outras posições,674.4309186351707,127.0,3.0,428.0,0.7174,Goiânia,GO,74215220,T 52,749,Setor Bueno,Rua T 52,
53005457,CENTRO DE ENSINO SANTA RITA DE CASSIA,5300108,27,101,Outras posições,634.6458536585366,41.0,4.0,155.0,0.7158,Brasília,DF,73035090,QUADRA 9,02,Sobradinho,Quadra 9,
52033090,COLEGIO SHALLON - UNIDADE I,5208707,18,63,Outras posições,634.2165,40.0,4.0,162.0,0.7145,Goiânia,GO,74565080,FORTALEZA,261,Setor Urias Magalhães,Rua Fortaleza,
32078510,UP CENTRO EDUCACIONAL,3205309,12,16,Outras posições,633.9714373088685,109.0,4.0,391.0,0.7136,Vitória,ES,29090720,JUDITH LEAO CASTELLO RIBEIRO,425,Jardim Camburi,Avenida Judith Leão Castello Ribeiro,
53018273,COL IDEAL UNIDADE JARDIM BOTANICO,5300108,28,101,Outras posições,633.528,15.0,4.0,83.0,0.7122,Brasília,DF,71680370,QUINTAS DO SOL,05,Setor Habitacional Jardim Botânico,Condomínio Quintas do Sol,
31005673,COLEGIO FREDERICO OZANAM,3106200,35,88,Outras posições,606.31,18.0,5.0,79.0,0.712,Belo Horizonte,MG,31060210,JERONIMO MONTEIRO,48,Boa Vista,Rua Jerônimo Monteiro,
31368342,COLEGUIUM - UNIDADE INTERNACIONAL BURITIS,3106200,36,88,Outras posições,633.3839639639639,37.0,4.0,94.0,0.7114,Belo Horizonte,MG,30494225,PAULO PIEDADE CAMPOS,340,Estoril,Rua Paulo Piedade Campos,
31370258,COLEGIO ORLEANS E BRAGANCA,3106200,37,88,Outras posições,606.094,10.0,5.0,104.0,0.7103,Belo Horizonte,MG,30315382,DOS BANDEIRANTES,800,Comiteco,Avenida dos Bandeirantes,
52032973,COLEGIO GOIANIENSE ADVENTISTA,5208707,19,63,Outras posições,605.14,44.0,5.0,142.0,0.7075,Goiânia,GO,74670020,CAPISTABOS,1.345,Santa Genoveva,Rua Capistabos,
52290352,COLEGIO EINSTEIN,5208707,20,63,Outras posições,604.78,25.0,5.0,130.0,0.7062,Goiânia,GO,74230200,C235A,,Setor Bueno,Rua C235A,
31004162,COLEGIO NOEME CAMPOS,3106200,38,88,Outras posições,631.4526666666667,30.0,4.0,68.0,0.7058,Belo Horizonte,MG,31840050,FURQUIM WERNECK,94,Tupi A,Rua Furquim Werneck,
52033112,COLEGIO MAIS ANIMA,5208707,21,63,Outras posições,631.1466666666666,20.0,4.0,71.0,0.7044,Goiânia,GO,74573120,AMETISTA,104,Jardim Diamantina,Rua Ametista,
35004304,ESCOLA CONCEPT,3543402,9,34,Outras posições,665.0138461538462,13.0,3.0,59.0,0.7036,Ribeirão Preto,SP,14027250,LUIZ EDUARDO TOLEDO PRADO,2675,Vila do Golfe,Avenida Luiz Eduardo Toledo Prado,
31244023,ESCOLA DO SEBRAE,3106200,39,88,Outras posições,630.6624712643678,116.0,4.0,649.0,0.7028,Belo Horizonte,MG,30431265,MARIA MACEDO,998,Nova Granada,Rua Maria Macedo,
31358541,COLEGUIUM - UNIDADE CARLOS PRATES,3106200,40,88,Outras posições,629.9794285714286,35.0,4.0,106.0,0.7009,Belo Horizonte,MG,30710320,ESPINOSA,646,Carlos Prates,Rua Espinosa,
