codigo_escola,NO_ENTIDADE,codigo_municipio,rank_municipio,n_escolas_confiaveis_municipio,segmento_comercial,enem_media_geral,qtd_participantes_enem,indice_infra,QT_MAT_MED,score_destaque,nome_municipio_ibge,uf,CO_CEP,DS_ENDERECO,NU_ENDERECO,bairro,logradouro_viacep,erro_geocodificacao
43172440,COLEGIO LEONARDO DA VINCI- BETA,4314902,5,45,Desafiante (2º-5º local),664.4967857142857,56.0,5.0,170.0,0.8997,Porto Alegre,RS,90810000,ICARAI,1879,Cristal,Avenida Icaraí,
52086615,COLEGIO JAO LTDA,5208707,5,63,Desafiante (2º-5º local),660.721090909091,55.0,5.0,218.0,0.8934,Goiânia,GO,74673640,J47,120,Setor Jaó,Rua J47,
33155259,ISJB - COLEGIO SALESIANO REGIAO OCEANICA,3303302,3,38,Desafiante (2º-5º local),654.8534693877551,49.0,5.0,151.0,0.8792,Niterói,RJ,24350280,DOUTOR CORNELIO DE MELLO JUNIOR,117,Piratininga,Rua Doutor Cornelio de Mello Júnior,
35137170,COLEGIO ANGLO ALANTE SAO JOSE DOS CAMPOS,3549904,2,22,Desafiante (2º-5º local),653.0790810810811,185.0,5.0,654.0,0.8751,São José dos Campos,SP,12242431,LAURENT MARTINS,329,Jardim Esplanada,Rua Laurent Martins,
33165920,COLEGIO E CURSO PENSI,3303302,4,38,Desafiante (2º-5º local),758.8586206896553,29.0,4.0,277.0,0.8515,Niterói,RJ,24230210,OSVALDO CRUZ,33,Icaraí,Rua Osvaldo Cruz,
33055947,COLEGIO SALESIANO SANTA ROSA,3303302,5,38,Desafiante (2º-5º local),643.9246987951807,83.0,5.0,316.0,0.8493,Niterói,RJ,24240225,SANTA ROSA,207,Santa Rosa,Rua Santa Rosa,
35290804,ESCOLA SEB UNIDADE ALVARES CABRAL,3543402,4,34,Desafiante (2º-5º local),725.4759420289855,69.0,4.0,212.0,0.8477,Ribeirão Preto,SP,14010080,ALVARES CABRAL,790,Centro,Rua Álvares Cabral,
42000238,COLEGIO BOM JESUS CORACAO DE JESUS,4205407,2,26,Desafiante (2º-5º local),640.6637837837839,37.0,5.0,135.0,0.8382,Florianópolis,SC,88020050,RUA EMIR ROSA,120,Centro,Rua Emir Rosa,
35431436,LICEU CONTEMPORANEO ENSINO MEDIO,3543402,5,34,Desafiante (2º-5º local),637.4346153846153,52.0,5.0,174.0,0.8266,Ribeirão Preto,SP,14050440,PARAISO,360,Vila Tibério,Rua Paraíso,
35499067,INSPIRE COLEGIO,3549904,3,22,Desafiante (2º-5º local),666.4417021276596,47.0,4.0,222.0,0.8034,São José dos Campos,SP,12220611,DUTRA PRESIDENTE,0,Vila Tatetuba,Rodovia Presidente Dutra,
42000645,COLEGIO SANTA CATARINA,4205407,3,26,Desafiante (2º-5º local),625.164,25.0,5.0,99.0,0.7839,Florianópolis,SC,88015410,FREI EVARISTO,91,Centro,Rua Frei Evaristo,
42000262,EDUCANDARIO IMACULADA CONCEICAO,4205407,4,26,Desafiante (2º-5º local),619.2287804878049,41.0,5.0,169.0,0.7633,Florianópolis,SC,88015140,RUA SAO FRANCISCO,148,Centro,Rua São Francisco,
35134259,CENTRO EDUCACIONAL OBJETIVO UNIDADE AQUARIUS,3549904,4,22,Desafiante (2º-5º local),618.8133333333333,47.0,5.0,151.0,0.7617,São José dos Campos,SP,12242014,RODRIGO REIS TUY,1200,Jardim Serimbura,Avenida Rodrigo Reis Tuy,
35004369,COLEGIO PLANCK,3549904,5,22,Desafiante (2º-5º local),705.8138636363636,88.0,3.0,307.0,0.7436,São José dos Campos,SP,12240540,CASSIANO RICARDO,1963,Jardim Alvorada,Avenida Cassiano Ricardo,
42103894,COLEGIO VILA OLIMPIA,4205407,5,26,Desafiante (2º-5º local),640.3953846153846,13.0,4.0,70.0,0.7362,Florianópolis,SC,88053701,RODOVIA JORNALISTA MAURICIO SIROTSKI SOBRINHO,5033,Jurerê,Rodovia Jornalista Maurício Sirotsky Sobrinho,
53020570,COL PODION ENS FUND E MEDIO,5300108,1,101,Líder local,743.7908333333334,184.0,5.0,517.0,0.9508,Brasília,DF,70790131,SGAN 913 MODULO A,SN,Asa Norte,Quadra SGAN 913 Módulo A,
26189569,COLEGIO COGNITIVO,2611606,1,70,Líder local,736.5988571428571,70.0,5.0,305.0,0.9504,Recife,PE,51160330,ANTONIO TORRES GALVAO,283,Imbiribeira,Avenida Antônio Torres Galvão,
33055866,COLEGIO MARILIA MATTOSO,3303302,1,38,Líder local,728.492,10.0,5.0,80.0,0.9488,Niterói,RJ,24210230,RUA JOSE BONIFACIO,39,São Domingos,Rua José Bonifácio,
31004651,COLEGIO SANTO AGOSTINHO,3106200,1,88,Líder local,721.6742675159236,314.0,5.0,1070.0,0.9473,Belo Horizonte,MG,30180007,AMAZONAS,1803,Santo Agostinho,Avenida Amazonas,
35805555,EMBRAER JUAREZ WANDERLEY COLEGIO,3549904,1,22,Líder local,715.7219607843138,153.0,5.0,475.0,0.9453,São José dos Campos,SP,12247611,FRANCISCO VITOR CESAR LEITE,9800,Residencial Galo Branco,Avenida Francisco Vitor César Leite,
32041152,ESCOLA SAO DOMINGOS,3205309,1,16,Líder local,712.7585585585585,74.0,5.0,256.0,0.9439,Vitória,ES,29050680,FRANCISCO RUBIM,428,Bento Ferreira,Rua Francisco Rubim,
35449003,FAAP RIBEIRAO PRETO COLEGIO,3543402,1,34,Líder local,701.7197027600849,157.0,5.0,484.0,0.9391,Ribeirão Preto,SP,14026290,MARCELLO SARTI,99/100,Residencial Flórida,Rua Marcello Sarti,
