codigo_escola,NO_ENTIDADE,codigo_municipio,rank_municipio,n_escolas_confiaveis_municipio,segmento_comercial,rede_propria_poliedro,enem_media_geral,qtd_participantes_enem,indice_infra,QT_MAT_MED,score_destaque
23274859,ANTARES ATS COLEGIO,2304400,17,102,Outras posições,False,663.0553846153846,13.0,5.0,67.0,0.8835
35120285,MIGUEL DE CERVANTES COLEGIO,3550308,7,417,Outras posições,False,676.775707762557,73.0,5.0,395.0,0.8829
33110034,CENTRO EDUCACIONAL ESPACO INTEGRADO,3304557,20,308,Outras posições,False,655.3824761904762,35.0,5.0,127.0,0.8828
33085846,ESC BRETANHA JD INFANCIA TIO CARECA,3304557,21,308,Outras posições,False,716.1613793103448,29.0,4.0,133.0,0.881
53015789,COLEGIO OLIMPO AGUAS CLARAS,5300108,6,98,Outras posições,False,716.0402666666666,75.0,4.0,329.0,0.8808
31007153,ESCOLA SEB UNIDADE SERRA,3106200,11,80,Outras posições,False,661.0757575757576,11.0,5.0,38.0,0.8791
35134806,ETAPA COLEGIO DE EFM,3550308,8,417,Outras posições,False,712.9624032921811,405.0,4.0,1275.0,0.8788
29487250,COLEGIO SAO PAULO,2927408,7,74,Outras posições,False,673.1548917748918,77.0,5.0,361.0,0.8785
29422248,COLEGIO ANGLO BRASILEIRO,2927408,8,74,Outras posições,False,673.0512820512821,39.0,5.0,115.0,0.8782
31004111,COLEGIO SAO JOSE DE ENSINO FUNDAMENTAL E MEDIO,3106200,12,80,Outras posições,False,659.145,20.0,5.0,70.0,0.8738
43104983,COLEGIO ISRAELITA BRASILEIRO,4314902,6,44,Outras posições,False,661.2070731707317,41.0,5.0,175.0,0.8735
23243350,FARIAS BRITO JOVEM SEIS BOCAS COLEGIO,2304400,18,102,Outras posições,False,659.0377011494253,87.0,5.0,325.0,0.8733
53013670,C EDUCACIONAL LEONARDO DA VINCI - UNIDADE TAGUATINGA,5300108,7,98,Outras posições,False,683.7619366852887,179.0,5.0,547.0,0.8729
53012860,COL GALOIS,5300108,8,98,Outras posições,False,700.4555115511552,101.0,4.0,358.0,0.8719
35100432,JARDIM SAO PAULO COLEGIO,3550308,9,417,Outras posições,False,668.9298245614035,133.0,5.0,510.0,0.8716
33063311,COL ANDREWS,3304557,22,308,Outras posições,False,677.4103703703704,45.0,4.0,214.0,0.8713
43238203,COLEGIO JOAO PAULO,4314902,7,44,Outras posições,False,680.4651282051282,39.0,4.0,131.0,0.8703
52068986,COLEGIO WR,5208707,6,59,Outras posições,False,717.7649751243781,201.0,3.0,823.0,0.8703
33173931,ESCOLA CAROLINA PATRICIO - UNIDADE GOLFE OLIMPICO,3304557,23,308,Outras posições,False,657.9297872340426,47.0,5.0,121.0,0.8698
26117584,COLEGIO APOIO,2611606,8,67,Outras posições,False,679.5319999999999,40.0,4.0,107.0,0.8695
53009428,COL COC LAGO NORTE,5300108,9,98,Outras posições,False,667.4441666666667,12.0,5.0,47.0,0.8684
43105017,COL NOSSA SENHORA DO BOM CONSELHO,4314902,8,44,Outras posições,False,658.6786666666667,45.0,5.0,163.0,0.8669
52091384,COLEGIO DEGRAUS,5208707,7,59,Outras posições,False,674.0981818181818,22.0,4.0,122.0,0.8666
32083882,ESCOLA MADAN,3205309,6,15,Outras posições,False,711.2780769230769,52.0,3.0,184.0,0.8665
24097004,COLEGIO CIENCIAS APLICADAS,2408102,6,44,Outras posições,False,724.4170909090909,55.0,3.0,141.0,0.8662
26187353,COLEGIO NUCLEO - BOA VIAGEM,2611606,9,67,Outras posições,False,710.4405555555555,72.0,3.0,266.0,0.866
35141240,VERTICE COLEGIO UNIDADE II,3550308,10,417,Outras posições,False,732.3576344086022,62.0,4.0,267.0,0.8659
33183830,ESCOLA ELEVA,3304557,24,308,Outras posições,False,673.098125,32.0,4.0,187.0,0.8657
23065591,FARIAS BRITO COLEGIO CENTRAL,2304400,19,102,Outras posições,False,656.1814545454546,220.0,5.0,499.0,0.8653
35131660,BRASILIA DE SAO PAULO COLEGIO,3550308,11,417,Outras posições,False,658.375625,96.0,5.0,289.0,0.8653
35104985,BANDEIRANTES COLEGIO EFM,3550308,12,417,Outras posições,False,709.110641025641,364.0,3.0,1330.0,0.8652
35124199,ALBERT SABIN COLEGIO,3550308,13,417,Outras posições,False,692.7382456140351,171.0,4.0,610.0,0.8644
35480745,BEACON SCHOOL,3550308,14,417,Outras posições,False,657.092,10.0,5.0,136.0,0.862
33148376,ESCOLA PARQUE - BARRA,3304557,25,308,Outras posições,False,670.4391208791209,91.0,4.0,317.0,0.8617
23267151,NOVA DIMENSAO COLEGIO,2304400,20,102,Outras posições,False,649.0346666666667,45.0,5.0,150.0,0.8613
53001087,C EDUCACIONAL LEONARDO DA VINCI,5300108,10,98,Outras posições,False,688.4783647798743,159.0,4.0,472.0,0.8606
33115460,COL BAHIENSE - CAMPO GRANDE,3304557,26,308,Outras posições,False,664.3372549019607,51.0,5.0,140.0,0.8603
