prospect;codigo_escola;cidade;UF;bairro_prospect;segmento_comercial;score_destaque;parceiro_mais_proximo;bairro_parceiro;parceiro_eh_unidade_propria;distancia_km;faixa_proximidade
INSTITUTO DE EDUCACAO PARQUE INDUSTRIAL IEPI;35582803;Campinas;SP;VILA ANHANGUERA;Outras posições;0.632;COLEGIO POLIEDRO;TAQUARAL;True;4.51;proximo (2-5km)
ESCOLA CANADENSE DE BRASILIA;53015010;Brasília;DF;ZONA INDUSTRIAL;Outras posições;0.808;C EDUCACIONAL SIGMA - ASA NORTE;ASA NORTE;False;4.53;proximo (2-5km)
JOAO XXIII COLEGIO;35101597;São Paulo;SP;VILA PRUDENTE;Outras posições;0.598;AGOSTINIANO MENDEL COLEGIO;VILA GOMES CARDIM;False;4.54;proximo (2-5km)
SAO JOSE DE VILA MATILDE ESCOLA;35102076;São Paulo;SP;VILA MATILDE;Outras posições;0.54;AGOSTINIANO MENDEL COLEGIO;VILA GOMES CARDIM;False;4.54;proximo (2-5km)
MAPLE BEAR SAO LUIS;21273456;São Luís;MA;RENASCENCA II;Desafiante (2º-5º local);0.85;ESCOLA CRESCIMENTO;CALHAU;False;4.56;proximo (2-5km)
C EDUCACIONAL LEONARDO DA VINCI;53001087;Brasília;DF;ASA SUL;Outras posições;0.854;C EDUCACIONAL SIGMA - ASA NORTE;ASA NORTE;False;4.57;proximo (2-5km)
COLEGIO DOM BOSCO LTDA;21010331;São Luís;MA;RENASCENÇA;Líder local;0.905;ESCOLA CRESCIMENTO;CALHAU;False;4.58;proximo (2-5km)
COOPERATIVO COLEGIO DE EDUCACAO BASICA;35123444;Presidente Prudente;SP;PARQUE RESIDENCIAL CARANDA;Outras posições;0.438;ESQUEMA UNICO EDUCACIONAL DE PRESIDENTE PRUDENTE;JARDIM PAULISTANO;False;4.62;proximo (2-5km)
COLEGIO DE SAO JOSE;27034844;Maceió;AL;CENTRO;Outras posições;0.511;COLEGIO CONTATO MACEIO;JATIÚCA;False;4.62;proximo (2-5km)
NOSSA SENHORA DA GLORIA COLEGIO MARISTA;35106616;São Paulo;SP;CAMBUCI;Outras posições;0.616;SAO JOSE COLEGIO AGOSTINIANO;CHACARA TATUAPE;False;4.62;proximo (2-5km)
OBJETIVO COLEGIO INTEGRADO;35399197;São Paulo;SP;BELA VISTA;Líder local;0.923;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;4.66;proximo (2-5km)
OBJETIVO CENTRO INTERESCOLAR UNIDADE PAULISTA;35103433;São Paulo;SP;BELA VISTA;Outras posições;0.824;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;4.66;proximo (2-5km)
FACEX UNIDADE CIC;24087157;Natal;RN;CIDADE ALTA;Outras posições;0.751;COLGIO CONTEMPORANEO;LAGOA NOVA;False;4.66;proximo (2-5km)
COLEGIO DE ENSINO MEDIO NOVA GERACAO;50030469;Campo Grande;MS;VILA TAVEIRPOLIS;Outras posições;0.7;COLEGIO CLASSE A;MONTE CASTELO;False;4.69;proximo (2-5km)
COLEGIO ESPANHOL SANTA MARIA MINAS - UNIDADE CIDADE NOVA;31004359;Belo Horizonte;MG;CIDADE NOVA;Outras posições;0.914;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;4.71;proximo (2-5km)
COLEGIO BRUNO OSTMANN;33169365;Macaé;RJ;IMBETIBA;Outras posições;0.609;COLEGIO APROVADO;GRANJA DOS CAVALEIROS;False;4.74;proximo (2-5km)
COLEGIO JOSEENSE;35144496;São José dos Campos;SP;RESIDENCIAL SOL NASCENTE;Outras posições;0.554;POLIEDRO COLEGIO;JARDIM ESPLANADA;True;4.75;proximo (2-5km)
SANTA LUCIA FILIPPINI COLEGIO;35100304;São Paulo;SP;ITABERABA;Outras posições;0.537;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;4.75;proximo (2-5km)
OSWALD DE ANDRADE COLEGIO UNIDADE II;35131507;São Paulo;SP;VILA ROMANA;Outras posições;0.526;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;4.77;proximo (2-5km)
COLEGIO SANTO IVO;35102660;São Paulo;SP;ALTO DA LAPA;Outras posições;0.798;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;4.81;proximo (2-5km)
FECAP COLEGIO;35106884;São Paulo;SP;LIBERDADE;Outras posições;0.631;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;4.82;proximo (2-5km)
WELLINGTON CENTRO DE ENSINO INTEGRADO;35100328;São Paulo;SP;MOINHO VELHO;Outras posições;0.525;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;4.82;proximo (2-5km)
DELTA COLEGIO;35119040;São Paulo;SP;SANTANA;Outras posições;0.466;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;4.86;proximo (2-5km)
OBJETIVO COLEGIO I UNIDADE PINHEIROS;35133450;São Paulo;SP;PINHEIROS;Outras posições;0.769;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;4.88;proximo (2-5km)
INSTITUTO CORACAO DE JESUS;31005975;Belo Horizonte;MG;NOVA SUISSA;Outras posições;0.908;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;4.89;proximo (2-5km)
NOSSA SENHORA SAGRADO CORACAO EXTERNATO;35101989;São Paulo;SP;VILA FORMOSA;Outras posições;0.491;AGOSTINIANO MENDEL COLEGIO;VILA GOMES CARDIM;False;4.91;proximo (2-5km)
COLEGIO ALMEIDA GARRETT;35338345;Ribeirão Preto;SP;CAMPOS ELISEOS;Outras posições;0.608;COLEGIO SANTA URSULA DE RIBEIRAO PRETO;JARDIM IRAJA;False;4.91;proximo (2-5km)
COL BATISTA DE BRASILIA;53001281;Brasília;DF;ASA SUL;Outras posições;0.626;C EDUCACIONAL SIGMA - ASA NORTE;ASA NORTE;False;4.91;proximo (2-5km)
CENTRO EDUCACIONAL MONTESSORIANO REINO INFANTIL;21009902;São Luís;MA;RENASCENA II;Desafiante (2º-5º local);0.878;ESCOLA CRESCIMENTO;CALHAU;False;4.92;proximo (2-5km)
LICEU CONTEMPORANEO ENSINO MEDIO;35431436;Ribeirão Preto;SP;VILA TIBERIO;Outras posições;0.779;COLEGIO SANTA URSULA DE RIBEIRAO PRETO;JARDIM IRAJA;False;5.01;distante (>5km)
EMBRAER COLEGIO CASIMIRO MONTENEGRO FILHO;35480617;Botucatu;SP;JARDIM AEROPORTO;Líder local;0.859;ADV BOTUCATU UNIDADE IV COLEGIO;CENTRO;False;5.02;distante (>5km)
COLEGIO FRANCISCANO SAGRADA FAMILIA;31006424;Belo Horizonte;MG;CAICARAS;Outras posições;0.777;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;5.02;distante (>5km)
COLEGIO MARISTA PADRE EUSTAQUIO;31004880;Belo Horizonte;MG;PADRE EUSTAQUIO;Outras posições;0.89;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;5.04;distante (>5km)
ADVENTISTA DA LIBERDADE COLEGIO;35106926;São Paulo;SP;LIBERDADE;Outras posições;0.458;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;5.06;distante (>5km)
COMUNITARIA DE CAMPINAS ESCOLA;35112689;Campinas;SP;PARQUE DA HIPICA;Outras posições;0.764;COLEGIO POLIEDRO;TAQUARAL;True;5.09;distante (>5km)
COLEGIO SANTA CATARINA;42000645;Florianópolis;SC;CENTRO;Outras posições;0.706;ESCOLA AUTONOMIA;ITACORUBI;False;5.17;distante (>5km)
PIAGET COLEGIO;35135446;São Paulo;SP;SITIO DO MANDAQUI;Outras posições;0.554;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;5.18;distante (>5km)
NOSSA SRA DA ASSUNCAO COL ED INF EF EM;41131584;Curitiba;PR;GUABIROTUBA;Outras posições;0.452;COLEGIO PASSIONISTA NOSSA SENHORA MENINA;JUVEVÊ;False;5.18;distante (>5km)
COLEGIO SALESIANO SAO JOSE;24057126;Natal;RN;RIBEIRA;Desafiante (2º-5º local);0.919;COLGIO CONTEMPORANEO;LAGOA NOVA;False;5.21;distante (>5km)
COL IN-NOVA;53018532;Brasília;DF;SETOR SUDOESTE;Outras posições;0.553;C EDUCACIONAL SIGMA - ASA NORTE;ASA NORTE;False;5.21;distante (>5km)
COL MAXIMUS STA INES;31003875;Belo Horizonte;MG;SANTA INÊS;Outras posições;0.711;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;5.22;distante (>5km)
COLEGIO SANTISSIMO SENHOR;27218198;Maceió;AL;SERRARIA;Outras posições;0.627;COLEGIO CONTATO MACEIO;JATIÚCA;False;5.24;distante (>5km)
INSPIRE COLEGIO;35499067;São José dos Campos;SP;VILA TATETUBA;Outras posições;0.8;POLIEDRO COLEGIO;JARDIM ESPLANADA;True;5.25;distante (>5km)
COLEGIO SANTA MARIA MINAS - UNIDADE NOVA SUICA;31244457;Belo Horizonte;MG;NOVA SUISSA;Outras posições;0.792;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;5.29;distante (>5km)
SAO MIGUEL ARCANJO COLEGIO FRANCISCANO;35101734;São Paulo;SP;VILA LUCIA;Outras posições;0.847;AGOSTINIANO MENDEL COLEGIO;VILA GOMES CARDIM;False;5.3;distante (>5km)
COLEGIO LOGOS;26153050;Recife;PE;IMBIRIBEIRA;Outras posições;0.723;MD EDUCACIONAL- COLEGIO MADRE DE DEUS UNIDADE II;BOA VIAGEM;False;5.3;distante (>5km)
SANTA CRUZ COLEGIO;35104620;São Paulo;SP;ALTO DE PINHEIROS;Outras posições;0.842;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;5.31;distante (>5km)
LICEU SALESIANO DO SALVADOR;29182581;Salvador;BA;NAZARÉ;Outras posições;0.662;CURSO E COLEGIO LEFFLER;CAMINHO DAS ÁRVORES;False;5.31;distante (>5km)
GAIA CURSO E COLEGIO;42160081;Florianópolis;SC;CENTRO;Outras posições;0.773;ESCOLA AUTONOMIA;ITACORUBI;False;5.34;distante (>5km)
VINICIUS DE MORAES COLEGIO;35167411;São Paulo;SP;JARDIM CACHOEIRA;Outras posições;0.506;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;5.37;distante (>5km)
COLEGUIUM - UNIDADE INTERNACIONAL BURITIS;31368342;Belo Horizonte;MG;ESTORIL;Outras posições;0.725;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;5.38;distante (>5km)
COL LA SALLE BRASILIA;53001060;Brasília;DF;ASA SUL;Outras posições;0.594;C EDUCACIONAL SIGMA - ASA NORTE;ASA NORTE;False;5.4;distante (>5km)
COLEGIO BOM JESUS CORACAO DE JESUS;42000238;Florianópolis;SC;CENTRO;Desafiante (2º-5º local);0.775;ESCOLA AUTONOMIA;ITACORUBI;False;5.4;distante (>5km)
COLEGIO BATISTA MINEIRO - UNIDADE BURITIS II;31329282;Belo Horizonte;MG;ESTORIL;Outras posições;0.904;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;5.41;distante (>5km)
COL GALOIS;53012860;Brasília;DF;ASA SUL;Outras posições;0.866;C EDUCACIONAL SIGMA - ASA NORTE;ASA NORTE;False;5.46;distante (>5km)
INSTITUTO BRASIL;24059293;Natal;RN;PITIMBU;Outras posições;0.508;COLGIO CONTEMPORANEO;LAGOA NOVA;False;5.46;distante (>5km)
COLEGIO ADVENTISTA DE SALVADOR;29181755;Salvador;BA;NAZARÉ;Outras posições;0.546;CURSO E COLEGIO LEFFLER;CAMINHO DAS ÁRVORES;False;5.48;distante (>5km)
ESCOLA DE ENSINO MEDIO ESTIMOARTE LTDA EPP;42154090;Florianópolis;SC;COSTEIRA DO PIRAJUBAE;Outras posições;0.514;ESCOLA AUTONOMIA;ITACORUBI;False;5.49;distante (>5km)
COLEGIO PROF LOURIVAL MARTINS FAGUNDES;50007912;Campo Grande;MS;PARQUE DOS NOVOS ESTADOS;Outras posições;0.657;COLEGIO HARMONIA - UNIDADE I;JARDIM DOS ESTADOS;False;5.51;distante (>5km)
COLEGIO ADVENTISTA DE FLORIANOPOLIS - CENTRO;42000246;Florianópolis;SC;CENTRO;Outras posições;0.578;ESCOLA AUTONOMIA;ITACORUBI;False;5.52;distante (>5km)
LA SALLE SAO PAULO COLEGIO;35127231;São Paulo;SP;VILA GUILHERMINA;Outras posições;0.442;AGOSTINIANO MENDEL COLEGIO;VILA GOMES CARDIM;False;5.54;distante (>5km)
COLEGIO ENERGIA;42109230;Florianópolis;SC;CENTRO;Outras posições;0.747;ESCOLA AUTONOMIA;ITACORUBI;False;5.55;distante (>5km)
JARDIM SAO PAULO COLEGIO;35100432;São Paulo;SP;JARDIM SAO PAULO;Outras posições;0.867;SAO JOSE COLEGIO AGOSTINIANO;CHACARA TATUAPE;False;5.55;distante (>5km)
ALTO PADRAO FRANCANO INSTITUTO ENSINO;35114510;Franca;SP;PARQUE UNIVERSITARIO;Desafiante (2º-5º local);0.688;NOVO COLEGIO SISTEMA DE ENSINO DE FRANCA LTDA;VILA NOSSA SENHORA DAS GRACAS;False;5.55;distante (>5km)
ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO;24059250;Natal;RN;FELIPE CAMARÃO;Outras posições;0.492;COLGIO CONTEMPORANEO;LAGOA NOVA;False;5.55;distante (>5km)
FIAP SCHOOL;35137042;São Paulo;SP;CAMBUCI;Outras posições;0.404;SAO JOSE COLEGIO AGOSTINIANO;CHACARA TATUAPE;False;5.56;distante (>5km)
COLEGIO DOM BOSCO BATEL;41377168;Curitiba;PR;BATEL;Outras posições;0.704;COLEGIO PASSIONISTA NOSSA SENHORA MENINA;JUVEVÊ;False;5.57;distante (>5km)
CERVANTES COLEGIO;35802220;Ribeirão Preto;SP;SUMAREZINHO;Outras posições;0.421;COLEGIO SANTA URSULA DE RIBEIRAO PRETO;JARDIM IRAJA;False;5.57;distante (>5km)
NOTRE DAME DE CAMPINAS COLEGIO;35112562;Campinas;SP;PARQUE DA HIPICA;Líder local;0.894;COLEGIO POLIEDRO;TAQUARAL;True;5.59;distante (>5km)
SANTO AGOSTINHO COLEGIO;35106896;São Paulo;SP;ACLIMACAO;Outras posições;0.59;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;5.63;distante (>5km)
MADRE MAZZARELLO INSTITUTO;35100663;São Paulo;SP;SANTANA;Outras posições;0.546;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;5.63;distante (>5km)
THOMAZ TREGLIA COLEGIO;35154817;São Paulo;SP;VILA BASILEIA;Outras posições;0.409;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;5.63;distante (>5km)
COC COLEGIO OSVALDO CARVALHO EIRELI EPP;42113083;Florianópolis;SC;CENTRO;Outras posições;0.73;ESCOLA AUTONOMIA;ITACORUBI;False;5.65;distante (>5km)
MARIA IMACULADA COLEGIO EEIFM;35105041;São Paulo;SP;PARAISO;Outras posições;0.788;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;5.67;distante (>5km)
COLEGIO SAO JOSE SION IPIRANGA;35106811;São Paulo;SP;IPIRANGA;Outras posições;0.439;SAO JOSE COLEGIO AGOSTINIANO;CHACARA TATUAPE;False;5.7;distante (>5km)
SANTA TERESINHA COLEGIO SALESIANO;35100473;São Paulo;SP;SANTANA;Outras posições;0.73;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;5.7;distante (>5km)
COLEGIO MARISTA DE PATAMARES;29447518;Salvador;BA;PITUAÇU;Desafiante (2º-5º local);0.886;COLEGIO OFICINA;PITUBA;False;5.79;distante (>5km)
OBJETIVO CENTRO INTERESCOLAR UNIDADE VERGUEIRO;35120339;São Paulo;SP;ACLIMACAO;Outras posições;0.492;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;5.82;distante (>5km)
COLEGIO EXECUTIVO LTDA;24057061;Natal;RN;PONTA NEGRA;Outras posições;0.818;COLGIO CONTEMPORANEO;LAGOA NOVA;False;5.84;distante (>5km)
COLEGIO NOSSA SENHORA DA SOLEDADE;29182441;Salvador;BA;LAPINHA;Outras posições;0.546;CURSO E COLEGIO LEFFLER;CAMINHO DAS ÁRVORES;False;5.85;distante (>5km)
SANTA ROSALIA COLEGIO;35450339;Sorocaba;SP;JARDIM SANTA ROSALIA;Desafiante (2º-5º local);0.775;COLEGIO SER UNIDADE CAMPOLIM;PARQUE CAMPOLIM;False;5.88;distante (>5km)
COLEGIO MARISTA PARANAENSE EI EF EM;41132130;Curitiba;PR;SEMINARIO;Outras posições;0.756;COLEGIO PASSIONISTA NOSSA SENHORA MENINA;JUVEVÊ;False;5.89;distante (>5km)
ESCOLA SEB UNIMASTER;31309711;Belo Horizonte;MG;BURITIS;Outras posições;0.915;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;6.01;distante (>5km)
ESCOLA ALEF PERETZ;35104711;São Paulo;SP;JARDIM EUROPA;Outras posições;0.807;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;6.04;distante (>5km)
IMPERATRIZ LEOPOLDINA COLEGIO;35100420;São Paulo;SP;SANTANA;Outras posições;0.815;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;6.04;distante (>5km)
SAO FRANCISCO XAVIER COLEGIO;35106756;São Paulo;SP;IPIRANGA;Outras posições;0.476;SAO JOSE COLEGIO AGOSTINIANO;CHACARA TATUAPE;False;6.05;distante (>5km)
NOSSA SENHORA DAS GRACAS ESCOLA;35104449;São Paulo;SP;ITAIM BIBI;Outras posições;0.711;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;6.09;distante (>5km)
COL COC LAGO NORTE;53009428;Brasília;DF;SETOR DE HABITAÇÕES INDIVIDUAIS NORTE;Outras posições;0.863;C EDUCACIONAL SIGMA - ASA NORTE;ASA NORTE;False;6.1;distante (>5km)
EDUCANDARIO IMACULADA CONCEICAO;42000262;Florianópolis;SC;CENTRO;Outras posições;0.677;ESCOLA AUTONOMIA;ITACORUBI;False;6.12;distante (>5km)
ASAV - COLEGIO CATARINENSE;42000670;Florianópolis;SC;CENTRO;Desafiante (2º-5º local);0.78;ESCOLA AUTONOMIA;ITACORUBI;False;6.13;distante (>5km)
COLEGIO ALUMNUS;31314749;Belo Horizonte;MG;FERNÃO DIAS;Outras posições;0.833;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;6.13;distante (>5km)
OBJETIVO CENTRO INTERESCOLAR UNIDADE IPIRANGA;35456731;São Paulo;SP;IPIRANGA;Outras posições;0.723;SAO JOSE COLEGIO AGOSTINIANO;CHACARA TATUAPE;False;6.15;distante (>5km)
BANDEIRANTES COLEGIO EFM;35104985;São Paulo;SP;VILA MARIANA;Outras posições;0.86;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;6.24;distante (>5km)
COLEGIO CERMAC;35119039;São Paulo;SP;LAUZANE PAULISTA;Outras posições;0.479;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;6.32;distante (>5km)
GERMINARE ESCOLA;35438315;São Paulo;SP;PARQUE ANHANGUERA;Outras posições;0.581;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;6.35;distante (>5km)
COLEGIO ANGLO BRASILEIRO;29422248;Salvador;BA;PATAMARES;Outras posições;0.873;CURSO E COLEGIO LEFFLER;CAMINHO DAS ÁRVORES;False;6.36;distante (>5km)
COLEGIO EDUCALLIS;21199090;São Luís;MA;CUTIM ANIL;Desafiante (2º-5º local);0.83;ESCOLA CRESCIMENTO;CALHAU;False;6.37;distante (>5km)
COLEGIO BATISTA DANIEL DE LA TOUCHE;21010250;São Luís;MA;JOÃO PAULO;Outras posições;0.598;ESCOLA CRESCIMENTO;CALHAU;False;6.38;distante (>5km)
AEVSLM COLEGIO SAO VICENTE DE PAULO;21013837;São Luís;MA;JOAO PAULO;Outras posições;0.572;ESCOLA CRESCIMENTO;CALHAU;False;6.39;distante (>5km)
BENJAMIN CONSTANT COLEGIO;35104991;São Paulo;SP;VILA MARIANA;Outras posições;0.742;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;6.42;distante (>5km)
COLEGIO ANTONIO VIEIRA;29181801;Salvador;BA;GARCIA;Outras posições;0.797;CURSO E COLEGIO LEFFLER;CAMINHO DAS ÁRVORES;False;6.43;distante (>5km)
COLEGIO DA IMACULADA CONCEICAO;26118149;Recife;PE;BARRO;Outras posições;0.542;MD EDUCACIONAL- COLEGIO MADRE DE DEUS UNIDADE II;BOA VIAGEM;False;6.44;distante (>5km)
COLEGIO SANTA MARIA MINAS - UNIDADE CORACAO EUCARISTICO;31005614;Belo Horizonte;MG;MINAS BRASIL;Outras posições;0.818;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;6.46;distante (>5km)
COLEGIO IMACULADA CONCEICAO;41129830;Curitiba;PR;SANTA FELICIDADE;Outras posições;0.535;COLEGIO DO BOSQUE MANANCIAIS;AHÚ;False;6.46;distante (>5km)
C EDUCACIONAL SIGMA;53001222;Brasília;DF;ASA SUL;Outras posições;0.877;C EDUCACIONAL SIGMA - ASA NORTE;ASA NORTE;False;6.52;distante (>5km)
CIDADE JARDIM CUMBICA COLEGIO;35126615;Guarulhos;SP;JARDIM CUMBICA;Outras posições;0.601;MATER AMABILIS COLEGIO;JARDIM MAIA;False;6.53;distante (>5km)
PAULISTA ESCOLA;35101047;São Paulo;SP;PARADA INGLESA;Outras posições;0.479;SAO JOSE COLEGIO AGOSTINIANO;CHACARA TATUAPE;False;6.54;distante (>5km)
COLEGIO ADVENTISTA DE BELO HORIZONTE;31006092;Belo Horizonte;MG;SÃO FRANCISCO;Outras posições;0.584;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;6.55;distante (>5km)
ETAPA COLEGIO DE EFM;35134806;São Paulo;SP;VILA MARIANA;Outras posições;0.872;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;6.6;distante (>5km)
ETAPA III COLEGIO;35563006;São Paulo;SP;VILA MARIANA;Outras posições;0.795;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;6.61;distante (>5km)
COLEGIO O BOM PASTOR;21279810;São Luís;MA;COHATRAC II;Outras posições;0.645;ESCOLA CRESCIMENTO;CALHAU;False;6.61;distante (>5km)
COLEGIO VISAO;26118262;Recife;PE;JIQUIÁ;Outras posições;0.76;MD EDUCACIONAL- COLEGIO MADRE DE DEUS UNIDADE II;BOA VIAGEM;False;6.63;distante (>5km)
VERA CRUZ ESCOLA UNIDADE III;35150885;São Paulo;SP;VILA LEOPOLDINA;Outras posições;0.642;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;6.63;distante (>5km)
COLEGIO BURITIS AGOSTINIANO;31294110;Belo Horizonte;MG;BURITIS;Outras posições;0.892;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;6.64;distante (>5km)
ADVENTISTA DE RIBEIRO PRETO COLEGIO;35115022;Ribeirão Preto;SP;CAMPOS ELISEOS;Outras posições;0.443;COLEGIO SANTA URSULA DE RIBEIRAO PRETO;JARDIM IRAJA;False;6.65;distante (>5km)
UNICO EDUCACIONAL;53016726;Brasília;DF;ASA SUL;Outras posições;0.818;C EDUCACIONAL SIGMA - ASA NORTE;ASA NORTE;False;6.74;distante (>5km)
CONQUISTA COLEGIO;35809305;São Paulo;SP;VILA RICA;Outras posições;0.489;AGOSTINIANO MENDEL COLEGIO;VILA GOMES CARDIM;False;6.81;distante (>5km)
COLEGIO SS SACRAMENTO;29182654;Salvador;BA;GARCIA;Outras posições;0.78;CURSO E COLEGIO LEFFLER;CAMINHO DAS ÁRVORES;False;6.82;distante (>5km)
COL OLIMPO;53056000;Brasília;DF;ASA SUL;Desafiante (2º-5º local);0.902;C EDUCACIONAL SIGMA - ASA NORTE;ASA NORTE;False;6.84;distante (>5km)
INSTITUTO DE ENSINO NOVO DINAMICO;35153631;São Paulo;SP;SITIO PINHEIRINHO;Outras posições;0.772;AGOSTINIANO MENDEL COLEGIO;VILA GOMES CARDIM;False;6.86;distante (>5km)
RIO BRANCO COLEGIO;35112902;Campinas;SP;BARAO GERALDO;Desafiante (2º-5º local);0.807;COLEGIO POLIEDRO;TAQUARAL;True;6.92;distante (>5km)
SAO PAULO DA CRUZ COLEGIO PASSIONISTA;35100912;São Paulo;SP;TUCURUVI;Outras posições;0.594;SAO JOSE COLEGIO AGOSTINIANO;CHACARA TATUAPE;False;6.92;distante (>5km)
COLEGIO SES;31346420;Belo Horizonte;MG;PALMEIRAS;Outras posições;0.467;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;6.96;distante (>5km)
ESCOLA NOVA LOURENCO UNIDADE IV;35126718;São Paulo;SP;VILA NOVA CONCEICAO;Outras posições;0.775;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;7.01;distante (>5km)
BOM JESUS SEMINARIO;41131789;Curitiba;PR;SEMINARIO;Outras posições;0.843;COLEGIO PASSIONISTA NOSSA SENHORA MENINA;JUVEVÊ;False;7.13;distante (>5km)
COLEGIO BATISTA BRASIL VILA MARIANA;35155073;São Paulo;SP;VILA MARIANA;Outras posições;0.726;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;7.15;distante (>5km)
COLEGIO CIMAN;53012941;Brasília;DF;ÁREA OCTOGONAL;Outras posições;0.799;C EDUCACIONAL SIGMA - ASA NORTE;ASA NORTE;False;7.16;distante (>5km)
RIO BRANCO EXTERNATO;35108972;São Bernardo do Campo;SP;RUDGE RAMOS;Outras posições;0.662;ABACO COLEGIO;ASSUNCAO;False;7.22;distante (>5km)
COLEGIO SANTA TERESA;21011052;São Luís;MA;CENTRO;Outras posições;0.492;ESCOLA CRESCIMENTO;CALHAU;False;7.23;distante (>5km)
COLEGIO SANTO ANJO BARIGUI ENS FUNDAMENTAL E ENS MEDIO;41155815;Curitiba;PR;MOSSUNGUÊ;Outras posições;0.587;COLEGIO DO BOSQUE MANANCIAIS;AHÚ;False;7.26;distante (>5km)
BEACON SCHOOL;35480745;São Paulo;SP;VILA LEOPOLDINA;Outras posições;0.856;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;7.27;distante (>5km)
COLEGUIUM - UNIDADE JARAGUA;31006386;Belo Horizonte;MG;SANTA ROSA;Outras posições;0.728;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;7.47;distante (>5km)
ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO;21014833;São Luís;MA;COROADINHO;Outras posições;0.53;ESCOLA CRESCIMENTO;CALHAU;False;7.5;distante (>5km)
CRESCER COLEGIO;35172510;Campinas;SP;JARDIM NOVO CAMPOS ELISEOS;Outras posições;0.487;COLEGIO POLIEDRO;TAQUARAL;True;7.53;distante (>5km)
COLEGIO POSITIVO HAUER - ENSINO MEDIO;41158750;Curitiba;PR;HAUER;Outras posições;0.704;COLEGIO PASSIONISTA NOSSA SENHORA MENINA;JUVEVÊ;False;7.58;distante (>5km)
CANELLO MARQUES COLEGIO;35071936;São Paulo;SP;JARDIM CIDADE PIRITUBA;Outras posições;0.566;COLEGIO POLIEDRO DE EDUCACAO;AGUA BRANCA;True;7.6;distante (>5km)
